编号,日期,客户编号,客户账号,咨询类型,广告帖子编号,引流账号 / 私信账号,负责人,销售名片,微信添加状态,咨询时间,回复时间,响应时间,关键词,网络地址地区,点击次数
497,2025年8月24日,CUS0320,user_0320,主动咨询,,ACC003,Sofia_Sales,已发送,已添加,2025-08-24 18:20,8月24日 18:43,23,留学,英国,1
335,2026/05/11,,user_0215,主动评论,POST0074,ACC001,Leo_Sales,已发送,未添加,2026/05/11 20:50,2026/05/11 20:52,2,口语,西班牙,1
590,2026/05/31,,user_0381,主动评论,POST0037,ACC002,Sofia_Sales,已发送,待添加,2026-05-31 19:30,2026-05-31 19:45,15,口语,加拿大,2
23,01/05/2026,CUS0018,@user_0018,被动私信,POST0114,ACC003,Sofia_Sales,已发送,已添加,2026/01/05 10:40,1月5日 19:48,548,留学,英国,1
624,2026-02-12,,user_0401,主动咨询,POST0083,ACC001,Mia_Sales,发送,已添加,2月12日 11:30,,57,B2,德国,4
556,2025-09-24,CUS0361,user_0361,主动咨询,POST0001,ACC002,Sofia_Sales,已发送,已添加,2025-09-24 11:40,9月24日 12:17,37,DELE,西班牙,3
749,2026-04-07,CUS0479,user_0479,回访,POST0063,ACC001,Mia_Sales,已发送,已添加,2026/04/07 11:30,2026-04-07 11:42,12,零基础,澳大利亚,1
770,2026-03-17,CUS0493,user_0493,主动咨询,,ACC002,Mia_Sales,发送,已添加,2026/03/17 14:10,2026-03-17 14:29,19,口语,澳大利亚,1
217,03/22/2025,CUS0133,user_0133,主动评论,POST0005,ACC003,Sofia_Sales,发送,未添加,3月22日 9:00,3月22日 9:12,12,留学,英国,1
344,2025年5月22日,CUS0221,user_0221,主动咨询,POST0092,ACC002,SOFIA_SALES,未发送,已添加,5月22日 15:50,,16,小孩课程,加拿大,4
476,2026-02-02,CUS0308,user_0308,回访,,ACC001,Leo_Sales,已发送,已添加,2026/02/02 09:00,2026-02-02 09:06,6,口语,德国,1
803,2025/12/22,CUS0516,user_0516,主动咨询,,ACC001,Leo_Sales,已发送,已添加,2025/12/22 09:50,2025/12/22 10:00,10,零基础,美国,1
490,2026/02/07,, user_0316 ,主动评论,POST0027,ACC004,Leo_Sales,已发送,已添加,2026-02-07 16:00,2月7日 18:50,170,口语,德国,4
735,2025-09-12,CUS0468,user_0468,主动评论,POST0008,ACC004,Mia_Sales,已发送,未添加,2025-09-12 09:30,9月12日 9:40,10,小孩课程,加拿大,4
657,2026-01-03,CUS0425,user_0425,主动评论,,ACC004,Leo_Sales,已发送,已添加,2026-01-03 18:00,2026-01-03 21:48,228,口语,加拿大,1
176,2026-07-23,CUS0111,user_0111,主动咨询,POST0015,ACC002,Sofia_Sales,未发送,未添加,2026/07/23 10:00,2026/07/23 10:22,22,口语,澳大利亚,2
557,2025-03-29,,user_0362,主动咨询,POST0028,ACC003,Leo_Sales,已发送,已添加,2025/03/29 14:00,3月29日 14:12,12,零基础,西班牙,1
598,2026-03-05,CUS0384,user_0384,被动私信,,ACC003,Leo_Sales,已发送,已添加,3月5日 9:40,2026-03-05 09:52,12,零基础,澳大利亚,2
389,2025-10-13,CUS0249,user_0249,主动咨询,POST0059,ACC002,Sofia_Sales,已发送,已添加,2025-10-13 20:40,,25,零基础,西班牙,3
55,2025-10-30,CUS0038,@user_0038,主动咨询,,ACC003,Leo_Sales,已发送,未添加,2025-10-30 20:40,2025/10/31 01:13,273,小孩课程,英国,4
297,2025年9月8日,CUS0188,user_0188,回访,POST0013,ACC003,Leo_Sales,已发送,已添加,2025-09-08 20:30,9月8日 21:52,96,留学,澳大利亚,4
3,2025-04-15,CUS0003,user_0003,主动咨询,,ACC002,Sofia_Sales,发送,待添加,4月15日 15:10,2025-04-15 15:17,7,小孩课程,中国,3
757,2025/08/17,CUS0484,user_0484,主动咨询,POST0012,ACC004,Leo_Sales,已发送,已添加,8月17日 20:10,2025-08-17 20:20,10,口语,加拿大,4
410,2025-06-02,CUS0262,user_0262,回访,POST0094,ACC002,Mia_Sales,已发送,待添加,2025/06/02 19:50,2025/06/02 21:14,84,零基础,中国,1
476,2026-02-02,CUS0308,user_0308,回访,,ACC001,Leo_Sales,已发送,已添加,2026/02/02 09:00,2026-02-02 09:06,6,口语,德国,1
133,2026/04/22,CUS0083,user_0083,主动咨询,POST0021,ACC003,Leo_Sales,未发送,已添加,2026-04-22 10:50,2026/04/22 11:05,60,B2,新加坡,1
327,2026-06-06,CUS0209,user_0209,主动咨询,,ACC001,Sofia_Sales,已发送,已添加,6月6日 18:40,2026-06-06 18:53,13,口语,中国,2
454,2025-12-20,CUS0292,user_0292,主动咨询,POST0099,ACC004,Mia_Sales,已发送,未添加,2025-12-20 14:00,2025/12/20 14:09,9,小孩课程,德国,2
662,2026-02-15,CUS0428,user_0428,被动私信,POST0112,ACC004,Leo_Sales ,未发送,已添加,2026/02/15 16:50,2月15日 17:21,31,小孩课程,美国,1
525,07/12/2025,CUS0340,user_0340,主动评论,POST0054,ACC004,Leo_Sales,已发送,未添加,2025-07-12 16:50,2025/07/12 17:05,15,零基础,英国,2
246,2026年1月16日,CUS0154, user_0154 ,主动咨询,POST0046,ACC004,Leo_Sales,发送,已添加,2026-01-16 16:10,2026/01/16 16:22,12,口语,美国,1
395,03/17/2026,,user_0253,回访,POST0109,ACC001,Leo_Sales,发送,已添加,2026-03-17 16:30,2026-03-17 19:36,186,留学,美国,1
595,2026年1月15日,CUS0383,user_0383,主动咨询,POST0028,ACC003,Leo_Sales ,发送,已添加,2026-01-15 17:00,2026/01/15 17:16,16,小孩课程,德国,2
693,2026/08/14,CUS0445, user_0445 ,主动咨询,POST0086,ACC004,Leo_Sales,未发送,已添加,2026-08-14 19:40,2026/08/14 20:19,39,零基础,英国,2
453,2025/09/21,CUS0291,user_0291,回访,POST0084,ACC002,Mia_Sales,未发送,已添加,2025-09-21 19:40,2025-09-21 19:58,18,小孩课程,澳大利亚,1
424,2026年6月9日,CUS0272, user_0272 ,被动私信,,ACC003,Sofia_Sale,未发送,未添加,2026/06/09 14:10,2026-06-09 14:23,13,留学,新加坡,3
810,2025-06-26,,user_0520,主动评论,POST0087,ACC001,Sofia_Sale,已发送,待添加,2025-06-26 09:20,2025-06-26 09:29,9,B2,美国,1
294,2025-05-10,CUS0187,user_0187,主动咨询,POST0055,ACC004,Sofia_Sales,未发送,未添加,2025-05-10 20:10,2025-05-10 20:24,14,留学,西班牙,2
494,2025年10月19日,CUS0318,@user_0318,主动评论,,ACC001,Mia_Sales,已发送,未添加,2025-10-19 18:50,2025/10/19 19:13,23,零基础,新加坡,3
488,2025-10-18,,user_0314,被动私信,POST0016,ACC004,Sofia_Sales,未发送,已添加,2025-10-18 17:00,2025-10-18 17:13,13,口语,中国,2
129,2026-03-10,CUS0082,user_0082,回访,POST0076,ACC002,Sofia_Sales,已发送,已添加,2026-03-10 11:30,2026-03-10 12:01,31,DELE,新加坡,1
605,2026-04-14,,user_0389,主动咨询,POST0047,ACC004,Sofia_Sales,未发送,已添加,2026/04/14 20:10,2026/04/14 20:16,6,小孩课程,美国,1
446,05/31/2026,CUS0287,user_0287,被动私信,POST0038,ACC003,MIA_SALES,已发送,已添加,2026/05/31 17:20,2026-05-31 17:25,5,DELE,加拿大,3
678,2026-03-29,CUS0436,user_0436,主动评论,POST0075,ACC004,Mia_Sales,未发送,已添加,3月29日 15:00,2026-03-29 15:17,17,DELE,加拿大,4
747,2025/04/07,CUS0477,user_0477,主动咨询,POST0072,ACC003,Sofia_Sales,未发送,已添加,2025-04-07 10:40,2025-04-07 10:58,18,留学,中国,2
282,2025-07-02,CUS0178,user_0178,主动咨询,POST0063,ACC001,Mia_Sales,已发送,待添加,2025/07/02 09:30,7月2日 9:38,8,留学,德国,3
492,2026-01-11,,user_0317,被动私信,POST0107,ACC003,Leo_Sales,未发送,已添加,2026-01-11 18:50,2026-01-11 19:04,14,DELE,加拿大,1
429,2025-07-27,CUS0276,user_0276,回访,POST0062,ACC002,Mia_Sales,发送,已添加,2025-07-27 09:20,2025-07-27 14:47,327,零基础,中国,3
785,2025-11-07,CUS0504,user_0504,被动私信,,ACC003,MIA_SALES,发送,待添加,2025-11-07 16:10,11月7日 16:33,23,B2,西班牙,1
608,2026-04-20,CUS0391,user_0391,主动咨询,POST0013,ACC003,Sofia_Sales,未发送,未添加,2026/04/20 19:20,2026-04-20 19:39,19,零基础,美国,1
213,2026-06-07,CUS0130, user_0130 ,回访,POST0116,ACC001,Mia_Sales,已发送,已添加,6月7日 16:50,2026/06/07 17:07,17,小孩课程,美国,3
675,2026/01/23,CUS0435,user_0435,主动咨询,POST0092,ACC002,Mia_Sales,发送,未添加,2026/01/23 17:00,2026/01/23 17:21,21,DELE,美国,4
