帖子编号,作品名称,发布时间,运营人员名称,运营账号,曝光量,账号总曝光量,账号总粉丝量
POST0001,儿童西语_01,2026-04-05,May_Operation,SpanishEdu_2,5169,85137,3638
POST0002,零基础西语_02,2026-03-23,Eric_Operations,SpanishEdu_3,3098,76724,24469
POST0003,成人口语_03,2026年5月8日,May_Operations,SpanishEdu_2,4880,85137,19357
POST0004,成人口语_04,2026-05-18,ALEX_OPERATIONS,SpanishEdu_1,3061,61513,3844
POST0005,西语学习方法_05,2026/04/12,May_Operations,SpanishEdu_2,4909,85137,1260
POST0006,儿童西语_06,2026/08/18,Alex_Operations,SpanishEdu_4,13942,37456,2761
POST0007,零基础西语_07,2026-03-11,Eric_Operations,SpanishEdu_3,7945,76724,11458
POST0008,成人口语_08,2026/01/17,May_Operations,SpanishEdu_2,6464,85137,11938
POST0009,儿童西语_09,2026-03-03,Alex_Operations,SpanishEdu_4,3356,37456,16583
POST0010,零基础西语_10,2026年3月17日,Eric_Operations,SpanishEdu_3,4270,76724,13234
POST0011,DELE备考_11,2026-06-06,Eric_Operations,SpanishEdu_3,8350,76724,21369
POST0012,西语学习方法_12,2026-06-25,Alex_Operations,SpanishEdu_1,11664,61513,23135
POST0013,零基础西语_13,06/24/2026,Eric_Operations,SpanishEdu_3,19235,76724,10283
POST0014,儿童西语_14,2026/07/21,Eric_Operation,SpanishEdu_3,3207,76724,24556
POST0015,西语学习方法_15,2026/04/23,May_Operations,SpanishEdu_2,4408,85137,24634
POST0016,西语学习方法_16,03/11/2026,Alex_Operations, SpanishEdu_1 ,1653,61513,13433
POST0017,零基础西语_17,2026-01-25,Alex_Operations ,SpanishEdu_1,1142,61513,8155
POST0018,西语学习方法_18,2026/07/06,May_Operations, SpanishEdu_2 ,2561,85137,1062
POST0019,成人口语_19,2026-03-18,Alex_Operations,SpanishEdu_4,2806,37456,4947
POST0020,DELE备考_20,04/06/2026,May_Operations,SpanishEdu_2,1620,85137,13175
POST0021,留学西语_21,2026/03/16,May_Operations,@SpanishEdu_2,7244,85137,23400
POST0022,西语学习方法_22,2026/07/24,Alex_Operations,SPANISHEDU_1,18333,61513,17934
POST0023,成人口语_23,2026-06-15,Eric_Operations,SpanishEdu_3,4210,76724,15198
POST0024,零基础西语_24,2026-02-09,May_Operations,SpanishEdu_2,2619,85137,23594
POST0025,西语学习方法_25,2026/03/04,ALEX_OPERATIONS,SpanishEdu_4,2198,37456,8583
POST0026,西语学习方法_26,2026-01-18,May_Operations,SpanishEdu_2,4388,85137,23261
POST0027,西语学习方法_27,2026/07/16,May_Operations,SpanishEdu_2,7931,85137,24940
POST0028,儿童西语_28,03/24/2026,Alex_Operations,SpanishEdu_1,6274,61513,15709
POST0029,零基础西语_29,2026/02/04,Alex_Operations,SpanishEdu_4,1413,37456,1880
POST0030,儿童西语_30,2026-02-03,Alex_Operations,SpanishEdu_4,2967,37456,14277
POST0031,儿童西语_31,2026-08-21,May_Operations,SpanishEdu_2,1655,85137,15912
POST0032,留学西语_32,2026-06-21,Alex_Operations,SpanishEdu_1,3116,61513,13659
POST0033,西语学习方法_33,2026-06-02,Alex_Operations,SpanishEdu_4,4877,37456,5894
POST0034,零基础西语_34,2026-01-10,May_Operations,@SpanishEdu_2,1367,85137,6445
POST0035,DELE备考_35,2026-07-28,Alex_Operations,SPANISHEDU_1,3400,61513,9251
POST0036,零基础西语_36,03/25/2026,Alex_Operations,@SpanishEdu_4,4460,37456,7090
POST0037,儿童西语_37,2026/05/28,May_Operations,SpanishEdu_2,11840,85137,19011
POST0038,成人口语_38,2026-06-25,Eric_Operations,SpanishEdu_3,3655,76724,10035
POST0039,西语学习方法_39,2026-07-30,May_Operations,SpanishEdu_2,4730,85137,1740
POST0040,成人口语_40,03/03/2026,Eric_Operations,SpanishEdu_3,5282,76724,5332
POST0041,留学西语_41,08/15/2026,Eric_Operations,SpanishEdu_3,8250,76724,2197
POST0042,儿童西语_42,2026年1月8日,May_Operations,SpanishEdu_2,2984,85137,9823
POST0043,DELE备考_43,2026/02/09,Alex_Operations,SpanishEdu_4,1437,37456,23204
POST0044,零基础西语_44,2026-03-23,Alex_Operations, SpanishEdu_1 ,7441,61513,7589
POST0045,DELE备考_45,2026/02/25,May_Operations,SpanishEdu_2,10368,85137,18220
POST0046,留学西语_46,2026-02-04,Eric_Operations, SpanishEdu_3 ,7615,76724,1442
POST0047,零基础西语_47,2026-05-22,ALEX_OPERATIONS,SpanishEdu_1,5429,61513,11078
POST0048,成人口语_48,02/05/2026,Eric_Operations,SpanishEdu_3,1607,76724,18076
