日期,星期,工作类别,具体事项,学生,班级,教师,记录人,负责人,优先级,状态,截止时间,完成时间,是否异常,异常等级,处理结果,后续跟进,备注
2026/01/21,Wednesday,时间冲突,课程时间需重新确认,Elynn_123,,,Nora_Academic,Nora_Academic,低,已完成,2026-01-22,2026年1月22日,是,2,与客户沟通,,
2026-01-29,Thursday,时间冲突,教师不可用,Chloe_131,,,Nora_Academic,Nora_Academic,中,已完成,2026年1月31日,2026/02/01,是,中,调整班级安排,,
2026/02/03,Tuesday,schedule issue,课程时间需重新确认,Elynn_023 ,,,Cielo_Academic,Cielo_Academic,紧急,已完成,2026年2月4日,02/05/2026,是,1,与客户沟通,,
2026-02-07,Saturday,排课问题,临时改课,Chloe_131,,,Nora_Academic,Nora_Academic,中,处理中,2026-02-09,,是,高,与客户沟通,继续跟进,
2026/02/14,Saturday,schedule issue,教师不可用,Noah_128,,,Cielo_Academic,Cielo_Academic,低,已完成,2026-02-17,2026-02-15,是,2,调整班级安排,,
2026/03/07,Saturday,排课问题,教师不可用,Henry_040,,,Nora_Academic,Nora_Academic,中,处理中,2026-03-10,,是,3,调整班级安排,继续跟进,
2026-03-10,Tuesday,销售承诺冲突,临时改课,Ivy_089,,,Cielo_Academic,Cielo_Academic,高,已完成,2026/03/13,2026年3月14日,是,中,与客户沟通,,
2026-03-15,Sunday,排课,客户信息不一致,Lawrence_074,,,Iris_Academic,Iris_Academic,高,已完成,2026-03-18,2026/03/16,是,1,更换教师,,
2026-03-24,Tuesday,销售承诺冲突,课程时间需重新确认,Elva_163,,,Iris_Academic,Iris_Academic,中,已完成,03/28/2026,2026年3月24日,是,1,调整班级安排,,
2026-03-31,Tuesday,排课问题,客户信息不一致,Alfred_12,,,Iris_Academic,Iris_Academic,中,已完成,2026/04/01,2026/04/03,是,高,更换教师,,
2026年4月2日,Thursday,排课问题,客户信息不一致,Lawrence_074,,,Cielo_Academic,Cielo_Academic,高,处理中,2026/04/06,,是,中,重新确认时间,继续跟进,
2026年4月13日,Monday,销售承诺冲突,课程时间需重新确认,Lawrence_074,,,Nora_Academic,Nora_Academic,高,已完成,2026-04-17,2026/04/16,是,中,,,
2026-04-15,Wednesday,时间冲突,客户信息不一致,Lawrence_124,,,Cielo_Academic,Cielo_Academic,中,已完成,2026-04-16,2026/04/18,是,中,重新确认时间,,
2026-05-07,Thursday,销售承诺冲突,教师不可用,Sofia_105,,,Nora_Academic,Nora_Academic,低,完成,05/08/2026,2026/05/09,是,中,重新确认时间,,
