月份,试听数量,试听转化率,学生总数,私教新增,班课新增,开班率,教师停止授课/离职数量,排课变更数量
2025-03,6,83.3%,3,2,1,78%,0,0
2025-04,21,38.1%,12,4,5,76%,0,2
2025-05,18,50.0%,24,7,4,82%,0,3
2025-06,19,47.4%,31,1,3,91%,0,7
2025-07,22,40.9%,43,6,3,86%,0,5
2025-08,20,45.0%,50,3,0,88%,0,11
2025-09,19,31.6%,58,3,1,74%,0,9
2025-10,30,33.3%,67,4,1,82%,0,8
2025-11,15,53.3%,75,0,3,84%,0,2
2025-12,25,40.0%,86,5,2,88%,0,3
2026-01,21,42.9%,95,5,0,76%,1,3
2026-02,15,20.0%,98,0,0,76%,1,4
2026-03,20,41.0%,107,5,0,86%,0,1
2026-04,21,57.1%,118,8,0,88%,0,1
2026-05,22,54.5%,130,7,0,95%,0,5
2026-06,26,53.0%,144,4,0,89%,0,8
2026-07,16,12.5%,146,1,0,74%,3,4
2026-08,33,21.2%,153,2,1,86%,2,7
