student_status_id,student_id,status,effective_from,effective_to,reason,recorded_by
STS00001,STU0001,在读,2026-01-18,,,EMP006
STS00002,STU0002,在读,2025-06-23,,,EMP004
STS00003,STU0003,在读,2025-08-22,2025-11-27,,EMP005
STS00004,STU0003,暂停,2025-11-28,,时间不合适,EMP005
STS00005,STU0004,在读,2026-08-29,,,EMP005
STS00006,STU0005,在读,2026-04-14,,,EMP006
STS00007,STU0006,在读,2025-12-09,2026-03-18,,EMP006
STS00008,STU0006,已停课,2026-03-19,,排课困难,EMP006
STS00009,STU0007,在读,2026-08-03,,,EMP006
STS00010,STU0008,在读,2025-11-24,2026-07-23,,EMP004
STS00011,STU0008,已完成,2026-07-24,,完成课程,EMP004
STS00012,STU0009,在读,2026-07-22,,,EMP006
STS00013,STU0010,在读,2026-05-19,2026-07-16,,EMP005
STS00014,STU0010,暂停,2026-07-17,,暂时停学,EMP005
STS00015,STU0011,在读,2025-04-04,,,EMP006
STS00016,STU0012,在读,2025-12-31,,,EMP004
STS00017,STU0013,在读,2025-11-22,,,EMP006
STS00018,STU0014,在读,2025-12-20,2026-04-16,,EMP005
STS00019,STU0014,已停课,2026-04-17,,时间不合适,EMP005
STS00020,STU0015,在读,2025-11-29,,,EMP004
STS00021,STU0016,在读,2025-03-28,,,EMP005
STS00022,STU0017,在读,2026-06-07,,,EMP005
STS00023,STU0018,在读,2026-06-06,,,EMP004
STS00024,STU0019,在读,2026-01-27,,,EMP006
STS00025,STU0020,在读,2026-03-30,2026-07-31,,EMP005
STS00026,STU0020,暂停,2026-08-01,,暂时停学,EMP005
STS00027,STU0021,在读,2025-07-12,,,EMP006
STS00028,STU0022,在读,2025-12-18,,,EMP004
STS00029,STU0023,在读,2026-01-18,,,EMP006
STS00030,STU0024,在读,2025-04-11,,,EMP005
STS00031,STU0025,在读,2026-09-04,,,EMP005
STS00032,STU0026,在读,2026-03-15,,,EMP004
STS00033,STU0027,在读,2025-06-05,2026-06-24,,EMP004
STS00034,STU0027,已停课,2026-06-25,,时间不合适,EMP004
STS00035,STU0028,在读,2025-09-14,2025-12-23,,EMP006
STS00036,STU0028,暂停,2025-12-24,,排课困难,EMP006
STS00037,STU0029,在读,2025-09-02,2025-11-14,,EMP006
STS00038,STU0029,已停课,2025-11-15,,时间不合适,EMP006
STS00039,STU0030,在读,2025-05-04,2025-07-10,,EMP005
STS00040,STU0030,已完成,2025-07-11,,排课困难,EMP005
STS00041,STU0031,在读,2025-04-17,,,EMP005
STS00042,STU0032,在读,2025-08-24,,,EMP006
STS00043,STU0033,在读,2026-05-22,2026-08-10,,EMP004
STS00044,STU0033,已停课,2026-08-11,,时间不合适,EMP004
STS00045,STU0034,在读,2025-04-13,2026-06-26,,EMP006
STS00046,STU0034,已停课,2026-06-27,,课程体验,EMP006
STS00047,STU0035,在读,2025-05-30,,,EMP005
STS00048,STU0036,在读,2026-06-16,,,EMP006
STS00049,STU0037,在读,2025-03-31,2026-04-30,,EMP006
STS00050,STU0037,已停课,2026-05-01,,完成课程,EMP006
STS00051,STU0038,在读,2026-05-03,,,EMP006
STS00052,STU0039,在读,2026-05-30,,,EMP005
STS00053,STU0040,在读,2025-08-31,,,EMP005
STS00054,STU0041,在读,2025-12-29,2026-08-25,,EMP004
STS00055,STU0041,已停课,2026-08-26,,排课困难,EMP004
STS00056,STU0042,在读,2025-07-02,,,EMP006
STS00057,STU0043,在读,2025-05-01,,,EMP004
STS00058,STU0044,在读,2026-04-28,,,EMP004
STS00059,STU0045,在读,2026-03-26,2026-07-23,,EMP004
STS00060,STU0045,已停课,2026-07-24,,,EMP004
STS00061,STU0046,在读,2025-04-04,,,EMP006
STS00062,STU0047,在读,2025-03-10,,,EMP006
STS00063,STU0048,在读,2025-04-22,2025-11-15,,EMP006
STS00064,STU0048,暂停,2025-11-16,,时间不合适,EMP006
STS00065,STU0049,在读,2026-06-19,2026-08-25,,EMP006
STS00066,STU0049,已停课,2026-08-26,,暂时停学,EMP006
STS00067,STU0050,在读,2026-07-04,,,EMP006
STS00068,STU0051,在读,2025-05-01,,,EMP004
STS00069,STU0052,在读,2026-05-26,,,EMP004
STS00070,STU0053,在读,2025-10-21,2026-04-02,,EMP006
STS00071,STU0053,暂停,2026-04-03,,排课困难,EMP006
STS00072,STU0054,在读,2025-05-01,,,EMP005
STS00073,STU0055,在读,2025-06-20,,,EMP005
STS00074,STU0056,在读,2025-08-24,2026-05-13,,EMP006
STS00075,STU0056,已停课,2026-05-14,,,EMP006
STS00076,STU0057,在读,2026-04-25,,,EMP006
STS00077,STU0058,在读,2025-05-27,2025-08-24,,EMP006
STS00078,STU0058,已停课,2025-08-25,,排课困难,EMP006
STS00079,STU0059,在读,2025-09-16,2025-12-18,,EMP004
STS00080,STU0059,已停课,2025-12-19,,时间不合适,EMP004
STS00081,STU0060,在读,2025-09-05,2026-05-03,,EMP006
STS00082,STU0060,已停课,2026-05-04,,时间不合适,EMP006
STS00083,STU0061,在读,2025-10-08,2026-06-22,,EMP005
STS00084,STU0061,已完成,2026-06-23,,暂时停学,EMP005
STS00085,STU0062,在读,2025-05-20,,,EMP004
STS00086,STU0063,在读,2025-12-17,2026-05-11,,EMP005
STS00087,STU0063,已完成,2026-05-12,,暂时停学,EMP005
STS00088,STU0064,在读,2025-11-17,2026-07-10,,EMP005
STS00089,STU0064,已完成,2026-07-11,,课程体验,EMP005
STS00090,STU0065,在读,2026-08-18,,,EMP005
STS00091,STU0066,在读,2026-05-12,2026-08-25,,EMP004
STS00092,STU0066,已完成,2026-08-26,,完成课程,EMP004
STS00093,STU0067,在读,2025-06-02,2026-05-26,,EMP005
STS00094,STU0067,暂停,2026-05-27,,时间不合适,EMP005
STS00095,STU0068,在读,2026-09-01,,,EMP004
STS00096,STU0069,在读,2026-01-23,,,EMP005
STS00097,STU0070,在读,2025-07-01,,,EMP004
STS00098,STU0071,在读,2025-06-20,,,EMP004
STS00099,STU0072,在读,2026-05-15,,,EMP005
