class_student_id,class_id,student_id,join_date,leave_date,status
CST0001,CLS002,STU0021,2026-03-30,,在读
CST0002,CLS005,STU0043,2026-05-09,,在读
CST0003,CLS008,STU0024,2026-05-04,,在读
CST0004,CLS001,STU0010,2026-06-19,,在读
CST0005,CLS009,STU0058,2026-02-25,,在读
CST0006,CLS004,STU0028,2026-03-14,,在读
CST0007,CLS011,STU0018,2026-07-26,,在读
CST0008,CLS012,STU0034,2026-05-18,,在读
CST0009,CLS010,STU0007,2026-02-07,,在读
CST0010,CLS004,STU0040,2026-03-01,,在读
CST0011,CLS006,STU0027,2026-04-01,,在读
CST0012,CLS003,STU0032,2026-03-08,,在读
CST0013,CLS005,STU0020,2026-05-09,,在读
CST0014,CLS001,STU0041,2026-04-18,,在读
CST0015,CLS008,STU0003,2026-03-08,,在读
CST0016,CLS002,STU0022,2026-03-16,,在读
CST0017,CLS007,STU0050,2026-06-30,,在读
CST0018,CLS012,STU0013,2026-09-03,,在读
CST0019,CLS009,STU0015,2026-05-22,,在读
CST0020,CLS007,STU0044,2026-03-25,,在读
CST0021,CLS009,STU0054,2026-06-20,,在读
CST0022,CLS003,STU0045,2026-08-10,,在读
CST0023,CLS011,STU0017,2026-08-29,,在读
CST0024,CLS001,STU0033,2026-02-05,,在读
CST0025,CLS007,STU0019,2026-05-01,,在读
CST0026,CLS011,STU0036,2026-05-09,,在读
CST0027,CLS006,STU0008,2026-03-20,,在读
CST0028,CLS005,STU0009,2026-08-04,,在读
CST0029,CLS003,STU0012,2026-03-24,,在读
CST0030,CLS009,STU0048,2026-05-09,,在读
CST0031,CLS011,STU0006,2026-01-21,,在读
