customer_id,customer_account,source_channel,sales_id,status,create_date
CUS0001,user_0001,小红书,EMP001,跟进中,2026-02-09
CUS0002,user_0002,小红书,EMP001,已报名,2026-02-08
CUS0003,user_0003,小红书,EMP003,已报名,2026-04-30
CUS0004,user_0004,小红书,EMP002,已报名,2026-06-14
CUS0005,user_0005,小红书,EMP001,跟进中,2026-04-01
CUS0006,user_0006,小红书,EMP001,跟进中,2026-06-03
CUS0007,user_0007,小红书,EMP003,跟进中,2026-05-18
CUS0008,user_0008,小红书,EMP001,试听后未转化,2026-05-15
CUS0009,user_0009,小红书,EMP002,已报名,2026-02-06
CUS0010,user_0010,小红书,EMP002,试听后未转化,2026-08-20
CUS0011,user_0011,小红书,EMP002,已报名,2026-01-27
CUS0012,user_0012,小红书,EMP001,试听后未转化,2026-06-20
CUS0013,user_0013,小红书,EMP002,跟进中,2026-04-04
CUS0014,user_0014,小红书,EMP002,试听后未转化,2026-07-08
CUS0015,user_0015,小红书,EMP001,已报名,2026-02-22
CUS0016,user_0016,小红书,EMP003,已报名,2026-02-18
CUS0017,user_0017,小红书,EMP002,试听后未转化,2026-03-28
CUS0018,user_0018,小红书,EMP002,跟进中,2026-03-13
CUS0019,user_0019,小红书,EMP003,已报名,2026-04-04
CUS0020,user_0020,小红书,EMP002,跟进中,2026-03-23
CUS0021,user_0021,小红书,EMP002,跟进中,2026-08-09
CUS0022,user_0022,小红书,EMP001,已报名,2026-06-08
CUS0023,user_0023,小红书,EMP001,已报名,2026-06-01
CUS0024,user_0024,小红书,EMP002,跟进中,2026-04-22
CUS0025,user_0025,小红书,EMP002,试听后未转化,2026-08-11
CUS0026,user_0026,小红书,EMP003,跟进中,2026-07-26
CUS0027,user_0027,小红书,EMP001,试听后未转化,2026-07-26
CUS0028,user_0028,小红书,EMP002,已报名,2026-01-21
CUS0029,user_0029,小红书,EMP003,试听后未转化,2026-02-24
CUS0030,user_0030,小红书,EMP003,跟进中,2026-07-24
CUS0031,user_0031,小红书,EMP002,跟进中,2026-03-15
CUS0032,user_0032,小红书,EMP003,试听后未转化,2026-05-10
CUS0033,user_0033,小红书,EMP003,已报名,2026-03-05
CUS0034,user_0034,小红书,EMP002,已报名,2026-05-09
CUS0035,user_0035,小红书,EMP001,跟进中,2026-02-23
CUS0036,user_0036,小红书,EMP001,试听后未转化,2026-04-06
CUS0037,user_0037,小红书,EMP001,已报名,2026-07-20
CUS0038,user_0038,小红书,EMP002,已报名,2026-02-15
CUS0039,user_0039,小红书,EMP002,已报名,2026-07-10
CUS0040,user_0040,小红书,EMP003,已报名,2026-03-21
CUS0041,user_0041,小红书,EMP003,已报名,2026-03-03
CUS0042,user_0042,小红书,EMP003,试听后未转化,2026-04-18
CUS0043,user_0043,小红书,EMP003,跟进中,2026-01-14
CUS0044,user_0044,小红书,EMP002,已报名,2026-04-03
CUS0045,user_0045,小红书,EMP002,试听后未转化,2026-06-09
CUS0046,user_0046,小红书,EMP001,试听后未转化,2026-04-14
CUS0047,user_0047,小红书,EMP001,已报名,2026-06-03
CUS0048,user_0048,小红书,EMP001,跟进中,2026-06-25
CUS0049,user_0049,小红书,EMP003,试听后未转化,2026-03-31
CUS0050,user_0050,小红书,EMP002,跟进中,2026-02-14
CUS0051,user_0051,小红书,EMP001,跟进中,2026-03-04
CUS0052,user_0052,小红书,EMP001,跟进中,2026-01-21
CUS0053,user_0053,小红书,EMP002,跟进中,2026-03-04
CUS0054,user_0054,小红书,EMP003,试听后未转化,2026-03-28
CUS0055,user_0055,小红书,EMP001,试听后未转化,2026-05-28
CUS0056,user_0056,小红书,EMP003,已报名,2026-04-18
CUS0057,user_0057,小红书,EMP001,试听后未转化,2026-07-06
CUS0058,user_0058,小红书,EMP001,试听后未转化,2026-03-26
CUS0059,user_0059,小红书,EMP001,试听后未转化,2026-01-17
CUS0060,user_0060,小红书,EMP001,试听后未转化,2026-05-25
CUS0061,user_0061,小红书,EMP002,已报名,2026-04-12
CUS0062,user_0062,小红书,EMP002,试听后未转化,2026-07-29
CUS0063,user_0063,小红书,EMP002,试听后未转化,2026-08-08
CUS0064,user_0064,小红书,EMP003,已报名,2026-02-01
CUS0065,user_0065,小红书,EMP002,试听后未转化,2026-08-02
CUS0066,user_0066,小红书,EMP003,试听后未转化,2026-02-20
CUS0067,user_0067,小红书,EMP003,跟进中,2026-05-15
CUS0068,user_0068,小红书,EMP003,跟进中,2026-01-17
CUS0069,user_0069,小红书,EMP002,跟进中,2026-03-09
CUS0070,user_0070,小红书,EMP002,跟进中,2026-02-07
CUS0071,user_0071,小红书,EMP002,试听后未转化,2026-01-31
CUS0072,user_0072,小红书,EMP001,试听后未转化,2026-07-04
CUS0073,user_0073,小红书,EMP003,试听后未转化,2026-02-04
CUS0074,user_0074,小红书,EMP001,已报名,2026-04-06
CUS0075,user_0075,小红书,EMP002,试听后未转化,2026-02-14
CUS0076,user_0076,小红书,EMP002,已报名,2026-04-30
CUS0077,user_0077,小红书,EMP001,跟进中,2026-06-14
CUS0078,user_0078,小红书,EMP001,试听后未转化,2026-04-14
CUS0079,user_0079,小红书,EMP002,试听后未转化,2026-02-03
CUS0080,user_0080,小红书,EMP002,跟进中,2026-02-07
CUS0081,user_0081,小红书,EMP001,试听后未转化,2026-07-28
CUS0082,user_0082,小红书,EMP001,试听后未转化,2026-01-03
CUS0083,user_0083,小红书,EMP001,已报名,2026-06-30
CUS0084,user_0084,小红书,EMP001,试听后未转化,2026-07-07
CUS0085,user_0085,小红书,EMP001,已报名,2026-07-26
CUS0086,user_0086,小红书,EMP003,试听后未转化,2026-01-23
CUS0087,user_0087,小红书,EMP002,试听后未转化,2026-07-31
CUS0088,user_0088,小红书,EMP003,试听后未转化,2026-05-09
CUS0089,user_0089,小红书,EMP003,已报名,2026-01-03
CUS0090,user_0090,小红书,EMP003,已报名,2026-01-03
CUS0091,user_0091,小红书,EMP002,跟进中,2026-01-03
CUS0092,user_0092,小红书,EMP001,跟进中,2026-08-20
CUS0093,user_0093,小红书,EMP002,跟进中,2026-07-11
CUS0094,user_0094,小红书,EMP002,试听后未转化,2026-05-22
CUS0095,user_0095,小红书,EMP002,跟进中,2026-04-15
CUS0096,user_0096,小红书,EMP003,试听后未转化,2026-07-29
CUS0097,user_0097,小红书,EMP003,跟进中,2026-05-15
CUS0098,user_0098,小红书,EMP001,跟进中,2026-03-11
CUS0099,user_0099,小红书,EMP003,试听后未转化,2026-06-25
CUS0100,user_0100,小红书,EMP002,试听后未转化,2026-03-28
CUS0101,user_0101,小红书,EMP002,试听后未转化,2026-07-12
CUS0102,user_0102,小红书,EMP003,试听后未转化,2026-07-17
CUS0103,user_0103,小红书,EMP001,试听后未转化,2026-03-26
CUS0104,user_0104,小红书,EMP001,跟进中,2026-04-04
CUS0105,user_0105,小红书,EMP003,已报名,2026-03-01
CUS0106,user_0106,小红书,EMP001,已报名,2026-04-17
CUS0107,user_0107,小红书,EMP003,试听后未转化,2026-01-09
CUS0108,user_0108,小红书,EMP001,跟进中,2026-07-05
CUS0109,user_0109,小红书,EMP002,跟进中,2026-07-27
CUS0110,user_0110,小红书,EMP003,已报名,2026-08-07
CUS0111,user_0111,小红书,EMP003,试听后未转化,2026-01-16
CUS0112,user_0112,小红书,EMP001,已报名,2026-03-24
CUS0113,user_0113,小红书,EMP002,试听后未转化,2026-07-02
CUS0114,user_0114,小红书,EMP001,已报名,2026-06-05
CUS0115,user_0115,小红书,EMP003,跟进中,2026-01-25
CUS0116,user_0116,小红书,EMP003,已报名,2026-04-30
CUS0117,user_0117,小红书,EMP003,已报名,2026-07-06
CUS0118,user_0118,小红书,EMP001,跟进中,2026-08-01
CUS0119,user_0119,小红书,EMP003,已报名,2026-02-19
CUS0120,user_0120,小红书,EMP002,试听后未转化,2026-07-03
CUS0121,user_0121,小红书,EMP003,已报名,2026-05-13
CUS0122,user_0122,小红书,EMP002,已报名,2026-02-26
CUS0123,user_0123,小红书,EMP001,已报名,2026-01-27
CUS0124,user_0124,小红书,EMP001,已报名,2026-02-06
CUS0125,user_0125,小红书,EMP002,试听后未转化,2026-07-08
CUS0126,user_0126,小红书,EMP002,已报名,2026-01-29
CUS0127,user_0127,小红书,EMP003,试听后未转化,2026-01-22
CUS0128,user_0128,小红书,EMP003,已报名,2026-04-30
CUS0129,user_0129,小红书,EMP003,跟进中,2026-01-10
CUS0130,user_0130,小红书,EMP002,已报名,2026-04-19
CUS0131,user_0131,小红书,EMP003,已报名,2026-07-22
CUS0132,user_0132,小红书,EMP001,已报名,2026-05-27
CUS0133,user_0133,小红书,EMP001,已报名,2026-08-06
CUS0134,user_0134,小红书,EMP002,已报名,2026-03-09
CUS0135,user_0135,小红书,EMP003,跟进中,2026-05-02
CUS0136,user_0136,小红书,EMP001,试听后未转化,2026-02-13
CUS0137,user_0137,小红书,EMP003,已报名,2026-02-14
CUS0138,user_0138,小红书,EMP002,跟进中,2026-08-19
CUS0139,user_0139,小红书,EMP001,已报名,2026-06-11
CUS0140,user_0140,小红书,EMP002,试听后未转化,2026-06-14
CUS0141,user_0141,小红书,EMP001,跟进中,2026-03-29
CUS0142,user_0142,小红书,EMP001,已报名,2026-06-26
CUS0143,user_0143,小红书,EMP002,试听后未转化,2026-08-14
CUS0144,user_0144,小红书,EMP003,试听后未转化,2026-08-16
CUS0145,user_0145,小红书,EMP001,试听后未转化,2026-02-19
CUS0146,user_0146,小红书,EMP003,试听后未转化,2026-04-11
CUS0147,user_0147,小红书,EMP001,跟进中,2026-02-17
CUS0148,user_0148,小红书,EMP001,试听后未转化,2026-05-09
CUS0149,user_0149,小红书,EMP001,试听后未转化,2026-06-07
CUS0150,user_0150,小红书,EMP003,已报名,2026-03-09
CUS0151,user_0151,小红书,EMP001,已报名,2026-02-26
CUS0152,user_0152,小红书,EMP002,跟进中,2026-05-26
CUS0153,user_0153,小红书,EMP001,试听后未转化,2026-07-05
