inquiry_id,customer_id,inquiry_date,inquiry_type,post_id,account_id,customer_account,inquiry_time,response_time,response_duration,sales_id,wechat_status,keyword,region,remark
INQ00001,CUS0001,2025-07-25,主动咨询,POST0061,ACC003,user_0001,2025-07-25 18:40:00,2025-07-25 18:48:00,8,EMP001,已添加,零基础,美国,
INQ00002,CUS0002,2026-07-17,回访,POST0043,ACC002,user_0002,2026-07-17 09:20:00,2026-07-17 09:38:00,18,EMP002,未添加,DELE,新加坡,
INQ00003,CUS0003,2025-04-15,主动咨询,,ACC002,user_0003,2025-04-15 15:10:00,2025-04-15 15:17:00,7,EMP001,待添加,小孩课程,中国,客户希望尽快安排
INQ00004,CUS0004,2025-11-19,主动咨询,POST0093,ACC002,user_0004,2025-11-19 19:40:00,2025-11-19 22:48:00,188,EMP001,已添加,留学,加拿大,
INQ00005,CUS0005,2026-06-18,主动咨询,,ACC002,user_0005,2026-06-18 17:30:00,2026-06-18 17:48:00,18,EMP003,待添加,小孩课程,英国,
INQ00006,CUS0006,2026-08-19,回访,POST0082,ACC003,user_0006,2026-08-19 11:20:00,2026-08-19 11:30:00,10,EMP002,已添加,小孩课程,英国,客户希望尽快安排
INQ00007,CUS0007,2025-03-08,主动评论,POST0064,ACC004,user_0007,2025-03-08 18:00:00,2025-03-08 18:09:00,9,EMP001,已添加,B2,加拿大,客户希望尽快安排
INQ00008,CUS0007,2025-03-31,主动咨询,POST0056,ACC001,user_0007,2025-03-31 16:00:00,2025-03-31 16:28:00,28,EMP001,已添加,口语,西班牙,客户希望尽快安排
INQ00009,CUS0008,2025-06-28,主动咨询,POST0068,ACC003,user_0008,2025-06-28 10:20:00,2025-06-28 10:40:00,20,EMP003,已添加,B2,德国,客户希望尽快安排
INQ00010,CUS0009,2026-06-09,主动咨询,POST0100,ACC002,user_0009,2026-06-09 09:50:00,2026-06-09 19:48:00,598,EMP002,已添加,留学,新加坡,
INQ00011,CUS0010,2025-08-12,主动咨询,POST0115,ACC004,user_0010,2025-08-12 09:00:00,2025-08-12 09:07:00,7,EMP003,已添加,口语,中国,
INQ00012,CUS0010,2025-09-06,被动私信,POST0028,ACC003,user_0010,2025-09-06 14:30:00,2025-09-06 21:32:00,422,EMP003,已添加,零基础,美国,客户希望尽快安排
INQ00013,CUS0011,2025-05-25,回访,POST0105,ACC004,user_0011,2025-05-25 15:10:00,2025-05-25 15:33:00,23,EMP002,待添加,零基础,新加坡,
INQ00014,CUS0011,2025-07-05,主动咨询,POST0119,ACC003,user_0011,2025-07-05 18:50:00,2025-07-05 19:00:00,10,EMP002,已添加,DELE,新加坡,客户希望尽快安排
INQ00015,CUS0011,2025-07-30,被动私信,POST0059,ACC002,user_0011,2025-07-30 18:50:00,2025-07-30 18:54:00,4,EMP002,未添加,小孩课程,德国,
INQ00016,CUS0012,2026-07-13,主动评论,POST0086,ACC004,user_0012,2026-07-13 20:50:00,2026-07-13 20:57:00,7,EMP002,已添加,留学,澳大利亚,
INQ00017,CUS0013,2026-06-16,主动评论,,ACC004,user_0013,2026-06-16 14:40:00,2026-06-16 15:13:00,33,EMP001,已添加,留学,西班牙,客户希望尽快安排
INQ00018,CUS0014,2025-10-18,主动评论,POST0042,ACC003,user_0014,2025-10-18 15:00:00,2025-10-18 15:21:00,21,EMP002,未添加,零基础,英国,
INQ00019,CUS0015,2026-06-23,被动私信,POST0078,ACC001,user_0015,2026-06-23 17:40:00,2026-06-23 17:52:00,12,EMP003,已添加,零基础,加拿大,客户希望尽快安排
INQ00020,CUS0016,2026-06-13,主动咨询,POST0006,ACC004,user_0016,2026-06-13 17:00:00,2026-06-13 17:16:00,16,EMP001,未添加,DELE,新加坡,
INQ00021,CUS0017,2025-11-13,主动咨询,POST0016,ACC004,user_0017,2025-11-13 11:30:00,2025-11-13 11:32:00,2,EMP001,已添加,小孩课程,德国,客户希望尽快安排
INQ00022,CUS0017,2025-11-18,被动私信,POST0019,ACC001,user_0017,2025-11-18 11:50:00,2025-11-18 12:03:00,13,EMP001,待添加,留学,西班牙,客户希望尽快安排
INQ00023,CUS0018,2026-01-05,被动私信,POST0114,ACC003,user_0018,2026-01-05 10:40:00,2026-01-05 19:48:00,548,EMP001,已添加,留学,英国,
INQ00024,CUS0018,2026-02-04,主动咨询,POST0038,ACC003,user_0018,2026-02-04 16:40:00,2026-02-04 16:55:00,15,EMP001,未添加,留学,英国,
INQ00025,CUS0018,2026-03-13,主动咨询,POST0050,ACC003,user_0018,2026-03-13 11:40:00,2026-03-13 12:01:00,21,EMP001,已添加,小孩课程,德国,
INQ00026,CUS0019,2025-07-19,主动咨询,POST0016,ACC004,user_0019,2025-07-19 20:10:00,2025-07-19 20:27:00,17,EMP001,已添加,零基础,中国,客户希望尽快安排
INQ00027,CUS0019,2025-08-26,主动咨询,POST0078,ACC001,user_0019,2025-08-26 09:30:00,2025-08-26 09:43:00,13,EMP001,已添加,留学,美国,
INQ00028,CUS0020,2025-06-29,主动咨询,POST0050,ACC003,user_0020,2025-06-29 16:00:00,2025-06-29 16:44:00,44,EMP002,未添加,B2,英国,
INQ00029,CUS0020,2025-07-14,主动评论,POST0070,ACC003,user_0020,2025-07-14 10:40:00,2025-07-14 10:48:00,8,EMP002,已添加,口语,新加坡,客户希望尽快安排
INQ00030,CUS0021,2025-10-27,主动咨询,POST0014,ACC001,user_0021,2025-10-27 09:00:00,2025-10-27 09:05:00,5,EMP001,已添加,小孩课程,德国,
INQ00031,CUS0022,2025-05-18,回访,POST0112,ACC004,user_0022,2025-05-18 14:40:00,2025-05-18 14:44:00,4,EMP002,已添加,口语,西班牙,客户希望尽快安排
INQ00032,CUS0022,2025-06-24,回访,POST0025,ACC004,user_0022,2025-06-24 15:50:00,2025-06-24 16:02:00,12,EMP002,已添加,小孩课程,澳大利亚,
INQ00033,CUS0023,2025-05-28,被动私信,POST0015,ACC002,user_0023,2025-05-28 19:20:00,2025-05-28 19:30:00,10,EMP002,已添加,小孩课程,新加坡,
INQ00034,CUS0024,2026-06-28,主动咨询,POST0064,ACC004,user_0024,2026-06-28 14:20:00,2026-06-28 14:27:00,7,EMP001,未添加,DELE,澳大利亚,
INQ00035,CUS0025,2025-03-07,被动私信,POST0077,ACC002,user_0025,2025-03-07 14:00:00,2025-03-07 14:22:00,22,EMP001,已添加,B2,德国,
INQ00036,CUS0025,2025-03-14,主动咨询,POST0116,ACC001,user_0025,2025-03-14 18:50:00,2025-03-14 19:09:00,19,EMP001,已添加,DELE,加拿大,客户希望尽快安排
INQ00037,CUS0025,2025-03-17,主动咨询,POST0102,ACC003,user_0025,2025-03-17 10:50:00,2025-03-17 10:57:00,7,EMP001,已添加,口语,澳大利亚,
INQ00038,CUS0026,2026-04-24,主动咨询,POST0077,ACC002,user_0026,2026-04-24 18:50:00,2026-04-24 18:59:00,9,EMP001,已添加,B2,新加坡,
INQ00039,CUS0027,2026-05-08,回访,POST0071,ACC003,user_0027,2026-05-08 09:20:00,2026-05-08 09:29:00,9,EMP001,未添加,DELE,中国,
INQ00040,CUS0028,2026-06-22,主动咨询,POST0106,ACC002,user_0028,2026-06-22 10:40:00,2026-06-22 10:42:00,2,EMP001,未添加,B2,中国,
INQ00041,CUS0029,2025-04-21,主动评论,POST0005,ACC003,user_0029,2025-04-21 20:00:00,2025-04-21 20:30:00,30,EMP003,已添加,小孩课程,加拿大,
INQ00042,CUS0030,2026-07-04,主动咨询,POST0059,ACC002,user_0030,2026-07-04 20:10:00,2026-07-04 20:39:00,29,EMP002,未添加,DELE,中国,
INQ00043,CUS0030,2026-07-13,主动咨询,POST0098,ACC003,user_0030,2026-07-13 15:10:00,2026-07-13 15:20:00,10,EMP002,已添加,小孩课程,美国,
INQ00044,CUS0031,2025-12-24,回访,POST0070,ACC003,user_0031,2025-12-24 11:00:00,2025-12-24 13:58:00,178,EMP003,已添加,小孩课程,新加坡,客户希望尽快安排
INQ00045,CUS0032,2025-03-07,主动咨询,POST0013,ACC003,user_0032,2025-03-07 19:00:00,2025-03-07 19:15:00,15,EMP003,已添加,口语,加拿大,
INQ00046,CUS0033,2025-03-06,回访,,ACC001,user_0033,2025-03-06 10:20:00,2025-03-06 10:26:00,6,EMP003,已添加,DELE,中国,
INQ00047,CUS0033,2025-03-26,主动咨询,POST0092,ACC002,user_0033,2025-03-26 14:00:00,2025-03-26 18:03:00,243,EMP003,已添加,小孩课程,新加坡,
INQ00048,CUS0034,2025-03-05,主动咨询,POST0105,ACC004,user_0034,2025-03-05 10:30:00,2025-03-05 10:57:00,27,EMP002,已添加,小孩课程,加拿大,客户希望尽快安排
INQ00049,CUS0034,2025-04-08,主动评论,POST0026,ACC003,user_0034,2025-04-08 11:00:00,2025-04-08 11:27:00,27,EMP002,已添加,B2,中国,
INQ00050,CUS0035,2026-08-20,回访,POST0083,ACC001,user_0035,2026-08-20 14:30:00,2026-08-20 14:57:00,27,EMP001,未添加,口语,新加坡,客户希望尽快安排
INQ00051,CUS0035,2026-08-31,主动评论,POST0017,ACC001,user_0035,2026-08-31 14:00:00,2026-08-31 14:12:00,12,EMP001,待添加,零基础,西班牙,
INQ00052,CUS0035,2026-08-31,主动咨询,POST0078,ACC001,user_0035,2026-08-31 14:30:00,2026-08-31 14:49:00,19,EMP001,未添加,口语,德国,客户希望尽快安排
INQ00053,CUS0036,2026-05-19,回访,POST0094,ACC002,user_0036,2026-05-19 15:50:00,2026-05-19 15:58:00,8,EMP002,未添加,DELE,中国,
INQ00054,CUS0037,2026-01-23,回访,POST0073,ACC003,user_0037,2026-01-23 11:40:00,2026-01-23 15:59:00,259,EMP002,待添加,口语,中国,
