issue_id,issue_date,category,related_student,owner,status,resolution,related_schedule_id
ISS00046,2025-04-14 16:00:00,销售承诺冲突,STU0023,EMP006,处理中,更换教师,SCH0007
ISS00003,2025-04-26 18:00:00,排课问题,STU0085,EMP006,处理中,更换教师,SCH0063
ISS00033,2025-05-15 14:00:00,排课问题,STU0023,EMP006,已完成,,SCH0007
ISS00055,2025-05-19 16:00:00,排课问题,STU0023,EMP006,处理中,与客户沟通,SCH0007
ISS00049,2025-06-02 10:00:00,排课问题,STU0151,EMP005,已完成,重新确认时间,SCH0049
ISS00058,2025-06-12 08:00:00,排课问题,STU0151,EMP004,已完成,重新确认时间,SCH0049
ISS00004,2025-06-14 08:00:00,排课问题,STU0027,EMP006,已完成,更换教师,SCH0043
ISS00066,2025-06-16 13:00:00,排课问题,STU0078,EMP005,已完成,调整班级安排,SCH0051
ISS00014,2025-06-22 14:00:00,排课问题,STU0078,EMP005,已完成,更换教师,SCH0051
ISS00093,2025-06-25 15:00:00,教师时间重叠,STU0033,EMP006,已完成,更换教师,SCH0038
ISS00050,2025-06-27 10:00:00,排课问题,STU0066,EMP004,处理中,重新确认时间,SCH0011
ISS00090,2025-06-29 15:00:00,教师时间重叠,STU0127,EMP006,已完成,更换教师,SCH0058
ISS00056,2025-06-29 18:00:00,排课问题,STU0095,EMP005,已完成,,SCH0036
ISS00073,2025-07-02 08:00:00,教师时间重叠,STU0097,EMP005,已完成,调整其中一节课程,SCH0024
ISS00031,2025-07-14 18:00:00,排课问题,STU0080,EMP004,已完成,与客户沟通,SCH0066
ISS00068,2025-07-21 15:00:00,销售承诺冲突,STU0045,EMP006,已完成,更换教师,SCH0066
ISS00019,2025-07-21 15:00:00,排课问题,STU0033,EMP004,待处理,与客户沟通,SCH0038
ISS00070,2025-07-23 18:00:00,教师时间重叠,STU0075,EMP006,已完成,更换教师,SCH0046
ISS00077,2025-07-25 18:00:00,教师时间重叠,STU0108,EMP004,已完成,重新确认时间,SCH0020
ISS00075,2025-07-30 08:00:00,教师时间重叠,STU0137,EMP006,已完成,更换教师,SCH0057
ISS00074,2025-07-30 08:00:00,教师时间重叠,STU0137,EMP004,处理中,重新确认时间,SCH0057
