enrollment_id,student_id,enrollment_date,course_mode,private_course_id,class_id,purchased_hours,sales_id,academic_id,status
ENR0001,STU0094,2025-07-20,私教,PC001,,60,EMP002,EMP005,在读
ENR0002,STU0006,2025-12-09,私教,PC002,,60,EMP002,EMP006,在读
ENR0003,STU0025,2026-09-04,私教,PC002,,40,EMP002,EMP005,在读
ENR0004,STU0072,2026-05-15,私教,PC003,,20,EMP003,EMP005,在读
ENR0005,STU0109,2025-04-20,私教,PC003,,20,EMP003,EMP004,在读
ENR0006,STU0082,2026-06-20,私教,PC004,,60,EMP002,EMP005,在读
ENR0007,STU0110,2025-10-03,私教,PC004,,40,EMP001,EMP005,在读
ENR0008,STU0003,2025-08-22,私教,PC005,,20,EMP001,EMP005,在读
ENR0009,STU0018,2026-06-06,私教,PC006,,40,EMP003,EMP004,在读
ENR0010,STU0023,2026-01-18,私教,PC007,,60,EMP002,EMP006,在读
ENR0011,STU0120,2026-03-31,私教,PC008,,30,EMP002,EMP004,在读
ENR0012,STU0126,2026-03-06,私教,PC009,,40,EMP001,EMP005,在读
ENR0013,STU0047,2025-03-10,私教,PC009,,20,EMP001,EMP006,在读
ENR0014,STU0135,2025-05-07,私教,PC010,,40,EMP001,EMP006,在读
ENR0015,STU0074,2025-09-11,私教,PC010,,20,EMP003,EMP005,在读
ENR0016,STU0028,2025-09-14,私教,PC010,,40,EMP003,EMP006,在读
ENR0017,STU0150,2026-05-17,私教,PC010,,30,EMP001,EMP005,在读
ENR0018,STU0066,2026-05-12,私教,PC011,,40,EMP002,EMP004,在读
ENR0019,STU0063,2025-12-17,私教,PC012,,30,EMP001,EMP005,在读
ENR0020,STU0070,2025-07-01,私教,PC012,,40,EMP001,EMP004,在读
ENR0021,STU0105,2026-04-16,私教,PC013,,30,EMP001,EMP006,在读
ENR0022,STU0145,2026-06-03,私教,PC014,,60,EMP003,EMP004,在读
ENR0023,STU0154,2025-07-18,私教,PC014,,20,EMP001,EMP006,在读
ENR0024,STU0153,2026-04-10,私教,PC015,,40,EMP001,EMP006,在读
ENR0025,STU0092,2026-03-16,私教,PC016,,40,EMP002,EMP004,在读
ENR0026,STU0009,2026-07-22,私教,PC017,,30,EMP002,EMP006,在读
ENR0027,STU0148,2026-08-31,私教,PC017,,20,EMP003,EMP004,在读
ENR0028,STU0044,2026-04-28,私教,PC017,,30,EMP003,EMP004,在读
ENR0029,STU0040,2025-08-31,私教,PC017,,30,EMP002,EMP005,在读
ENR0030,STU0011,2025-04-04,私教,PC018,,30,EMP002,EMP006,在读
ENR0031,STU0142,2026-04-03,私教,PC018,,30,EMP003,EMP005,在读
ENR0032,STU0084,2026-03-29,私教,PC019,,60,EMP002,EMP004,在读
ENR0033,STU0108,2026-04-21,私教,PC020,,40,EMP003,EMP004,在读
ENR0034,STU0052,2026-05-26,私教,PC020,,30,EMP003,EMP004,在读
ENR0035,STU0016,2025-03-28,私教,PC020,,60,EMP001,EMP005,在读
ENR0036,STU0046,2025-04-04,私教,PC021,,40,EMP003,EMP006,在读
ENR0037,STU0114,2026-01-09,私教,PC022,,60,EMP002,EMP005,在读
ENR0038,STU0079,2025-12-08,私教,PC022,,30,EMP003,EMP004,在读
ENR0039,STU0139,2025-10-17,私教,PC023,,30,EMP003,EMP006,在读
ENR0040,STU0076,2025-07-07,私教,PC023,,20,EMP002,EMP006,在读
ENR0041,STU0097,2026-01-27,私教,PC024,,40,EMP001,EMP004,在读
ENR0042,STU0117,2026-04-27,私教,PC025,,40,EMP002,EMP005,在读
ENR0043,STU0121,2026-06-30,私教,PC025,,30,EMP003,EMP006,在读
ENR0044,STU0043,2025-05-01,私教,PC025,,30,EMP001,EMP004,在读
ENR0045,STU0098,2025-05-07,私教,PC026,,60,EMP001,EMP005,在读
ENR0046,STU0057,2026-04-25,私教,PC027,,60,EMP002,EMP006,在读
ENR0047,STU0131,2026-01-17,私教,PC028,,40,EMP001,EMP004,在读
ENR0048,STU0147,2026-04-10,私教,PC028,,60,EMP001,EMP005,在读
ENR0049,STU0149,2025-10-04,私教,PC028,,40,EMP001,EMP006,在读
ENR0050,STU0124,2026-08-30,私教,PC029,,40,EMP002,EMP005,在读
ENR0051,STU0051,2025-05-01,私教,PC030,,20,EMP003,EMP004,在读
ENR0052,STU0035,2025-05-30,私教,PC031,,20,EMP003,EMP005,在读
ENR0053,STU0039,2026-05-30,私教,PC032,,30,EMP002,EMP005,在读
ENR0054,STU0136,2025-08-30,私教,PC033,,60,EMP002,EMP005,在读
ENR0055,STU0034,2025-04-13,私教,PC034,,20,EMP001,EMP006,在读
ENR0056,STU0091,2025-07-06,私教,PC035,,40,EMP003,EMP005,在读
ENR0057,STU0021,2025-07-12,私教,PC035,,30,EMP001,EMP006,在读
ENR0058,STU0019,2026-01-27,私教,PC035,,60,EMP003,EMP006,在读
ENR0059,STU0067,2025-06-02,私教,PC036,,60,EMP001,EMP005,在读
ENR0060,STU0095,2025-05-09,私教,PC036,,40,EMP002,EMP004,在读
ENR0061,STU0010,2026-05-19,私教,PC036,,20,EMP003,EMP005,在读
ENR0062,STU0101,2025-09-22,私教,PC036,,60,EMP001,EMP005,在读
ENR0063,STU0012,2025-12-31,私教,PC037,,30,EMP003,EMP004,在读
ENR0064,STU0033,2026-05-22,私教,PC038,,20,EMP001,EMP004,在读
ENR0065,STU0134,2026-03-25,私教,PC039,,60,EMP002,EMP005,在读
ENR0066,STU0102,2025-10-12,私教,PC039,,20,EMP002,EMP005,在读
ENR0067,STU0083,2025-12-20,私教,PC040,,20,EMP003,EMP004,在读
ENR0068,STU0068,2026-09-01,私教,PC041,,60,EMP003,EMP004,在读
ENR0069,STU0054,2025-05-01,私教,PC042,,20,EMP003,EMP005,在读
ENR0070,STU0024,2025-04-11,班课,,CLS007,40,EMP003,EMP005,在读
ENR0071,STU0030,2025-05-04,班课,,CLS009,60,EMP001,EMP005,在读
ENR0072,STU0119,2026-08-27,班课,,CLS021,30,EMP001,EMP004,在读
ENR0073,STU0002,2025-06-23,班课,,CLS006,40,EMP001,EMP004,在读
ENR0074,STU0093,2025-08-24,班课,,CLS017,40,EMP002,EMP005,在读
ENR0075,STU0133,2026-06-27,班课,,CLS016,30,EMP001,EMP005,在读
ENR0076,STU0090,2025-11-19,班课,,CLS022,40,EMP001,EMP006,在读
ENR0077,STU0096,2025-04-06,班课,,CLS014,30,EMP002,EMP005,在读
ENR0078,STU0118,2025-05-24,班课,,CLS018,30,EMP002,EMP006,在读
ENR0079,STU0017,2026-06-07,班课,,CLS002,30,EMP002,EMP005,在读
ENR0080,STU0004,2026-08-29,班课,,CLS010,60,EMP001,EMP005,在读
ENR0081,STU0113,2026-05-18,班课,,CLS005,60,EMP001,EMP006,在读
ENR0082,STU0062,2025-05-20,班课,,CLS006,30,EMP003,EMP004,在读
ENR0083,STU0071,2025-06-20,班课,,CLS008,30,EMP003,EMP004,在读
ENR0084,STU0007,2026-08-03,班课,,CLS014,40,EMP003,EMP006,在读
ENR0085,STU0128,2025-05-20,班课,,CLS001,30,EMP002,EMP004,在读
ENR0086,STU0138,2026-08-02,班课,,CLS022,60,EMP003,EMP005,在读
ENR0087,STU0155,2026-05-03,班课,,CLS018,30,EMP001,EMP004,在读
ENR0088,STU0061,2025-10-08,班课,,CLS002,60,EMP003,EMP005,在读
ENR0089,STU0073,2026-01-15,班课,,CLS013,40,EMP001,EMP005,在读
ENR0090,STU0058,2025-05-27,班课,,CLS010,40,EMP001,EMP006,在读
ENR0091,STU0112,2025-11-22,班课,,CLS022,40,EMP002,EMP004,在读
ENR0092,STU0008,2025-11-24,班课,,CLS017,40,EMP001,EMP004,在读
ENR0093,STU0099,2025-07-21,班课,,CLS012,30,EMP003,EMP004,在读
ENR0094,STU0026,2026-03-15,班课,,CLS018,30,EMP001,EMP004,在读
ENR0095,STU0053,2025-10-21,班课,,CLS010,40,EMP001,EMP006,在读
ENR0096,STU0065,2026-08-18,班课,,CLS003,40,EMP002,EMP005,在读
ENR0097,STU0111,2025-04-12,班课,,CLS021,30,EMP003,EMP005,在读
ENR0098,STU0077,2025-10-11,班课,,CLS002,60,EMP003,EMP006,在读
ENR0099,STU0027,2025-06-05,班课,,CLS001,30,EMP001,EMP004,在读
ENR0100,STU0001,2026-01-18,班课,,CLS006,30,EMP001,EMP006,在读
ENR0101,STU0049,2026-06-19,班课,,CLS014,60,EMP001,EMP006,在读
ENR0102,STU0086,2025-08-18,班课,,CLS014,40,EMP001,EMP006,在读
ENR0103,STU0137,2025-07-29,班课,,CLS015,60,EMP003,EMP005,在读
ENR0104,STU0048,2025-04-22,班课,,CLS002,40,EMP001,EMP006,在读
ENR0105,STU0032,2025-08-24,班课,,CLS009,60,EMP001,EMP006,在读
ENR0106,STU0115,2026-06-26,班课,,CLS005,60,EMP001,EMP004,在读
ENR0107,STU0069,2026-01-23,班课,,CLS013,60,EMP003,EMP005,在读
ENR0108,STU0045,2026-03-26,班课,,CLS024,30,EMP002,EMP004,在读
ENR0109,STU0089,2026-06-24,班课,,CLS017,40,EMP001,EMP004,在读
ENR0110,STU0132,2025-10-11,班课,,CLS019,40,EMP003,EMP005,在读
ENR0111,STU0087,2026-04-27,班课,,CLS013,40,EMP003,EMP006,在读
ENR0112,STU0085,2025-12-03,班课,,CLS021,30,EMP002,EMP004,在读
ENR0113,STU0064,2025-11-17,班课,,CLS023,60,EMP002,EMP005,在读
ENR0114,STU0116,2025-07-23,班课,,CLS004,40,EMP001,EMP004,在读
ENR0115,STU0123,2026-05-17,班课,,CLS020,60,EMP003,EMP005,在读
ENR0116,STU0029,2025-09-02,班课,,CLS011,60,EMP001,EMP006,在读
ENR0117,STU0059,2025-09-16,班课,,CLS016,40,EMP001,EMP004,在读
ENR0118,STU0031,2025-04-17,班课,,CLS010,30,EMP002,EMP005,在读
ENR0119,STU0075,2026-06-06,班课,,CLS004,60,EMP003,EMP006,在读
ENR0120,STU0129,2025-07-18,班课,,CLS006,30,EMP001,EMP006,在读
ENR0121,STU0104,2026-06-09,班课,,CLS018,60,EMP001,EMP004,在读
ENR0122,STU0141,2025-11-02,班课,,CLS020,60,EMP001,EMP005,在读
