schedule_change_id,schedule_id,change_time,old_start,new_start,change_reason,initiator_type,changed_by
CHG00001,SCH0002,2025-11-22 18:00:00,2025-11-15 18:00:00,2025-11-15 20:00:00,教师临时请假,教师,EMP005
CHG00002,SCH0005,2026-06-07 18:00:00,2026-04-28 18:00:00,2026-04-28 20:00:00,教师不可用,教师,EMP005
CHG00003,SCH0005,2026-05-18 20:00:00,2026-04-28 20:00:00,2026-04-28 22:00:00,教师不可用,教师,EMP005
CHG00004,SCH0006,2026-04-28 18:00:00,2026-04-11 18:00:00,2026-04-11 16:00:00,销售承诺冲突,销售,EMP004
CHG00005,SCH0006,2026-05-21 16:00:00,2026-04-11 16:00:00,2026-04-11 14:00:00,销售承诺冲突,销售,EMP005
CHG00006,SCH0007,2025-04-14 16:00:00,2025-04-01 16:00:00,2025-04-01 14:00:00,销售承诺冲突,销售,EMP006
CHG00007,SCH0007,2025-05-15 14:00:00,2025-04-01 14:00:00,2025-04-01 16:00:00,教师临时请假,教师,EMP006
CHG00008,SCH0007,2025-05-19 16:00:00,2025-04-01 16:00:00,2025-04-01 14:00:00,教师不可用,教师,EMP006
CHG00009,SCH0009,2025-10-15 10:00:00,2025-09-05 10:00:00,2025-09-05 07:00:00,销售承诺冲突,销售,EMP006
CHG00010,SCH0009,2025-09-14 07:00:00,2025-09-05 07:00:00,2025-09-05 09:00:00,教师不可用,教师,EMP005
CHG00011,SCH0010,2026-05-01 09:00:00,2026-04-07 09:00:00,2026-04-07 11:00:00,教师临时请假,教师,EMP004
CHG00012,SCH0010,2026-05-30 11:00:00,2026-04-07 11:00:00,2026-04-07 08:00:00,学生改时间,学生,EMP006
CHG00013,SCH0011,2025-07-31 09:00:00,2025-06-10 09:00:00,2025-06-10 10:00:00,销售承诺冲突,销售,EMP006
CHG00014,SCH0011,2025-06-27 10:00:00,2025-06-10 10:00:00,2025-06-10 11:00:00,教师不可用,教师,EMP004
CHG00015,SCH0013,2026-06-01 18:00:00,2026-05-23 18:00:00,2026-05-23 15:00:00,销售承诺冲突,销售,EMP004
CHG00016,SCH0013,2026-06-20 15:00:00,2026-05-23 15:00:00,2026-05-23 18:00:00,学生改时间,学生,EMP004
CHG00017,SCH0014,2025-09-16 15:00:00,2025-08-17 15:00:00,2025-08-17 14:00:00,教师不可用,教师,EMP004
CHG00018,SCH0014,2025-10-01 14:00:00,2025-08-17 14:00:00,2025-08-17 13:00:00,教师临时请假,教师,EMP006
CHG00019,SCH0014,2025-09-13 13:00:00,2025-08-17 13:00:00,2025-08-17 15:00:00,销售承诺冲突,销售,EMP006
CHG00020,SCH0015,2026-08-31 00:00:00,2026-07-27 14:00:00,2026-07-27 15:00:00,教师临时请假,教师,EMP004
CHG00021,SCH0015,2026-08-31 00:00:00,2026-07-27 15:00:00,2026-07-27 17:00:00,教师临时请假,教师,EMP005
CHG00022,SCH0015,2026-08-31 00:00:00,2026-07-27 17:00:00,2026-07-27 18:00:00,教师不可用,教师,EMP005
CHG00023,SCH0019,2026-03-20 10:00:00,2026-02-10 10:00:00,2026-02-10 08:00:00,学生改时间,学生,EMP006
CHG00024,SCH0020,2025-08-25 18:00:00,2025-07-25 18:00:00,2025-07-25 21:00:00,教师不可用,教师,EMP006
CHG00025,SCH0020,2025-08-19 21:00:00,2025-07-25 21:00:00,2025-07-25 20:00:00,班级整体调整,教务,EMP005
CHG00026,SCH0020,2025-08-21 20:00:00,2025-07-25 20:00:00,2025-07-25 18:00:00,学生改时间,学生,EMP005
CHG00027,SCH0022,2026-05-31 18:00:00,2026-05-16 18:00:00,2026-05-16 16:00:00,销售承诺冲突,销售,EMP006
CHG00028,SCH0022,2026-06-17 16:00:00,2026-05-16 16:00:00,2026-05-16 18:00:00,班级整体调整,教务,EMP006
CHG00029,SCH0023,2025-11-24 09:00:00,2025-10-02 09:00:00,2025-10-02 10:00:00,学生改时间,学生,EMP006
CHG00030,SCH0024,2025-08-04 08:00:00,2025-07-02 08:00:00,2025-07-02 10:00:00,教师不可用,教师,EMP005
CHG00031,SCH0025,2025-09-13 16:00:00,2025-08-29 16:00:00,2025-08-29 13:00:00,教师临时请假,教师,EMP005
CHG00032,SCH0025,2025-10-20 13:00:00,2025-08-29 13:00:00,2025-08-29 11:00:00,销售承诺冲突,销售,EMP005
CHG00033,SCH0027,2025-09-05 18:00:00,2025-08-17 18:00:00,2025-08-17 19:00:00,教师临时请假,教师,EMP004
CHG00034,SCH0027,2025-09-25 19:00:00,2025-08-17 19:00:00,2025-08-17 17:00:00,教师临时请假,教师,EMP004
CHG00035,SCH0028,2025-10-18 16:00:00,2025-10-05 16:00:00,2025-10-05 19:00:00,教师不可用,教师,EMP006
CHG00036,SCH0028,2025-10-18 19:00:00,2025-10-05 19:00:00,2025-10-05 22:00:00,销售承诺冲突,销售,EMP005
CHG00037,SCH0028,2025-10-25 22:00:00,2025-10-05 22:00:00,2025-10-06 00:00:00,教师临时请假,教师,EMP005
