schedule_id,course_mode,private_course_id,class_id,teacher_id,customer_preferred_time,sales_promised_time,confirmed_start,confirmation_status,confirmed_by,confirmed_at
SCH0001,私教,PC001,,T002,2026-07-10 17:00:00,2026-07-12 17:00:00,2026-07-12 17:00:00,已确认,EMP006,2026-07-11 17:00:00
SCH0002,私教,PC002,,T018,2026-07-14 18:00:00,2026-07-14 18:00:00,2026-07-18 17:00:00,冲突,EMP006,2026-07-15 17:00:00
SCH0003,私教,PC003,,T015,2026-06-12 19:00:00,2026-06-12 19:00:00,2026-06-13 11:00:00,冲突,EMP006,2026-06-12 00:00:00
SCH0004,私教,PC004,,T012,2026-03-05 17:00:00,2026-03-05 17:00:00,2026-03-05 17:00:00,已确认,EMP005,2026-03-05 00:00:00
SCH0005,私教,PC005,,T001,2026-05-21 19:00:00,2026-05-22 17:00:00,2026-05-22 17:00:00,已确认,EMP004,2026-05-21 00:00:00
SCH0006,私教,PC006,,T004,2026-01-27 16:00:00,2026-01-29 10:00:00,2026-01-29 10:00:00,已确认,EMP004,2026-01-28 10:00:00
SCH0007,私教,PC007,,T006,2026-07-09 11:00:00,2026-07-09 11:00:00,2026-07-10 10:00:00,冲突,EMP006,2026-07-09 10:00:00
SCH0008,私教,PC008,,T015,2026-04-10 18:00:00,2026-04-11 11:00:00,2026-04-11 11:00:00,已确认,EMP004,2026-04-10 00:00:00
SCH0009,私教,PC009,,T018,2026-01-16 10:00:00,2026-01-17 17:00:00,2026-01-17 17:00:00,已确认,EMP006,2026-01-16 00:00:00
SCH0010,私教,PC010,,T007,2026-07-11 18:00:00,2026-07-11 22:00:00,2026-07-14 15:00:00,冲突,EMP005,2026-07-13 15:00:00
SCH0011,私教,PC011,,T013,2026-07-06 16:00:00,2026-07-06 20:00:00,2026-07-08 11:00:00,冲突,EMP006,2026-07-07 11:00:00
SCH0012,私教,PC012,,T009,2026-07-09 20:00:00,2026-07-09 20:00:00,2026-07-11 17:00:00,冲突,EMP004,2026-07-09 00:00:00
SCH0013,私教,PC013,,T005,2026-04-03 16:00:00,2026-04-04 18:00:00,2026-04-04 18:00:00,已确认,EMP004,2026-04-03 18:00:00
SCH0014,私教,PC014,,T014,2026-02-15 18:00:00,2026-02-16 09:00:00,2026-02-16 09:00:00,已确认,EMP006,2026-02-15 09:00:00
SCH0015,私教,PC015,,T009,2026-07-13 20:00:00,2026-07-14 18:00:00,2026-07-14 18:00:00,已确认,EMP004,2026-07-13 00:00:00
SCH0016,私教,PC016,,T012,2026-01-09 15:00:00,2026-01-12 15:00:00,2026-01-12 15:00:00,已确认,EMP004,2026-01-10 15:00:00
SCH0017,私教,PC017,,T006,2026-05-15 15:00:00,2026-05-15 15:00:00,2026-05-17 10:00:00,冲突,EMP006,2026-05-16 10:00:00
SCH0018,私教,PC018,,T002,2026-04-15 20:00:00,2026-04-16 09:00:00,2026-04-16 09:00:00,已确认,EMP006,2026-04-15 00:00:00
SCH0019,班课,,CLS001,T016,,,2026-02-05 15:00:00,已确认,EMP004,2026-02-05 00:00:00
SCH0020,班课,,CLS002,T001,,,2026-03-17 15:00:00,已确认,EMP005,2026-03-16 15:00:00
SCH0021,班课,,CLS003,T012,,,2026-03-09 15:00:00,已确认,EMP006,2026-03-08 00:00:00
SCH0022,班课,,CLS004,T012,,,2026-03-02 15:00:00,已确认,EMP005,2026-03-01 00:00:00
SCH0023,班课,,CLS005,T007,,,2026-05-09 18:00:00,已确认,EMP005,2026-05-09 00:00:00
SCH0024,班课,,CLS006,T010,,,2026-03-21 09:00:00,已确认,EMP005,2026-03-20 00:00:00
SCH0025,班课,,CLS007,T011,,,2026-03-26 17:00:00,冲突,EMP006,2026-03-25 00:00:00
SCH0026,班课,,CLS008,T004,,,2026-03-09 10:00:00,已确认,EMP006,2026-03-08 10:00:00
SCH0027,班课,,CLS009,T004,,,2026-02-26 10:00:00,已确认,EMP006,2026-02-25 00:00:00
SCH0028,班课,,CLS010,T010,,,2026-02-09 11:00:00,已确认,EMP004,2026-02-08 11:00:00
SCH0029,班课,,CLS011,T016,,,2026-01-21 18:00:00,已确认,EMP004,2026-01-21 00:00:00
SCH0030,班课,,CLS012,T009,,,2026-05-18 18:00:00,已确认,EMP004,2026-05-18 00:00:00
