availability_id,teacher_id,weekday,start_time,end_time,timezone,effective_from,effective_to,status
AVL00001,T001,Friday,14:00,20:00,Europe/Madrid,2025-03-26,2026-05-31,历史有效
AVL00002,T001,Wednesday,18:00,22:00,Europe/Madrid,2025-03-26,2026-05-31,历史有效
AVL00003,T001,Tuesday,18:00,22:00,Europe/Madrid,2025-03-26,2026-05-31,历史有效
AVL00004,T001,Saturday,15:00,19:00,Europe/Madrid,2025-03-26,2026-05-31,历史有效
AVL00005,T001,Thursday,17:00,20:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00006,T001,Saturday,15:00,19:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00007,T001,Wednesday,08:00,12:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00008,T001,Tuesday,17:00,21:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00009,T001,Sunday,15:00,18:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00010,T001,Sunday,14:00,17:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00011,T001,Monday,11:00,13:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00012,T001,Wednesday,16:00,17:00,Europe/Madrid,2026-08-01,2026-08-23,历史有效
AVL00013,T001,Tuesday,16:00,18:00,Europe/Madrid,2026-08-01,2026-08-23,历史有效
AVL00014,T002,Friday,10:00,14:00,Europe/Madrid,2025-05-20,2026-05-31,历史有效
AVL00015,T002,Wednesday,10:00,14:00,Europe/Madrid,2025-05-20,2026-05-31,历史有效
AVL00016,T002,Monday,10:00,16:00,Europe/Madrid,2025-05-20,2026-05-31,历史有效
AVL00017,T002,Tuesday,17:00,21:00,Europe/Madrid,2025-05-20,2026-05-31,历史有效
AVL00018,T002,Saturday,14:00,19:00,Europe/Madrid,2025-05-20,2026-05-31,历史有效
AVL00019,T002,Thursday,15:00,19:00,Europe/Madrid,2025-05-20,2026-05-31,历史有效
AVL00020,T002,Monday,10:00,13:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00021,T002,Saturday,08:00,12:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00022,T002,Sunday,11:00,14:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00023,T002,Wednesday,14:00,18:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00024,T002,Sunday,11:00,14:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00025,T002,Monday,14:00,16:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00026,T002,Thursday,15:00,18:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00027,T002,Wednesday,11:00,13:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00028,T002,Saturday,16:00,18:00,Europe/Madrid,2026-08-01,2026-08-31,有效
AVL00029,T002,Friday,14:00,15:00,Europe/Madrid,2026-08-01,2026-08-31,有效
AVL00030,T002,Tuesday,15:00,18:00,Europe/Madrid,2026-08-01,2026-08-31,有效
AVL00031,T003,Sunday,15:00,20:00,America/Managua,2025-05-10,2026-05-31,历史有效
AVL00032,T003,Monday,08:00,13:00,America/Managua,2025-05-10,2026-05-31,历史有效
AVL00033,T003,Friday,10:00,15:00,America/Managua,2025-05-10,2026-05-31,历史有效
AVL00034,T003,Wednesday,18:00,22:00,America/Managua,2025-05-10,2026-05-31,历史有效
AVL00035,T003,Saturday,17:00,21:00,America/Managua,2025-05-10,2026-05-31,历史有效
AVL00036,T003,Tuesday,18:00,22:00,America/Managua,2025-05-10,2026-05-31,历史有效
AVL00037,T003,Wednesday,11:00,15:00,America/Managua,2026-06-01,2026-06-30,历史有效
AVL00038,T003,Thursday,14:00,17:00,America/Managua,2026-06-01,2026-06-30,历史有效
AVL00039,T003,Saturday,09:00,13:00,America/Managua,2026-06-01,2026-06-30,历史有效
AVL00040,T003,Monday,10:00,13:00,America/Managua,2026-06-01,2026-06-30,历史有效
AVL00041,T003,Wednesday,10:00,13:00,America/Managua,2026-07-01,2026-07-31,历史有效
AVL00042,T003,Friday,17:00,19:00,America/Managua,2026-07-01,2026-07-31,历史有效
AVL00043,T003,Sunday,10:00,12:00,America/Managua,2026-07-01,2026-07-31,历史有效
AVL00044,T003,Tuesday,16:00,18:00,America/Managua,2026-07-01,2026-07-31,历史有效
AVL00045,T003,Sunday,11:00,13:00,America/Managua,2026-08-01,2026-08-07,历史有效
AVL00046,T003,Wednesday,15:00,17:00,America/Managua,2026-08-01,2026-08-07,历史有效
AVL00047,T004,Thursday,11:00,17:00,America/Santiago,2025-04-27,2026-01-28,历史有效
AVL00048,T004,Wednesday,08:00,14:00,America/Santiago,2025-04-27,2026-01-28,历史有效
AVL00049,T004,Sunday,11:00,16:00,America/Santiago,2025-04-27,2026-01-28,历史有效
AVL00050,T004,Monday,10:00,14:00,America/Santiago,2025-04-27,2026-01-28,历史有效
AVL00051,T005,Friday,10:00,16:00,Europe/Madrid,2025-06-12,2026-05-31,历史有效
AVL00052,T005,Sunday,15:00,19:00,Europe/Madrid,2025-06-12,2026-05-31,历史有效
AVL00053,T005,Saturday,14:00,18:00,Europe/Madrid,2025-06-12,2026-05-31,历史有效
AVL00054,T005,Wednesday,10:00,14:00,Europe/Madrid,2025-06-12,2026-05-31,历史有效
AVL00055,T005,Monday,16:00,21:00,Europe/Madrid,2025-06-12,2026-05-31,历史有效
AVL00056,T005,Tuesday,08:00,11:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00057,T005,Friday,09:00,12:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00058,T005,Saturday,14:00,18:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00059,T005,Sunday,10:00,14:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00060,T005,Thursday,14:00,16:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00061,T005,Sunday,09:00,11:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00062,T005,Friday,14:00,16:00,Europe/Madrid,2026-07-01,2026-07-31,历史有效
AVL00063,T005,Saturday,15:00,17:00,Europe/Madrid,2026-08-01,2026-08-31,有效
AVL00064,T005,Tuesday,10:00,13:00,Europe/Madrid,2026-08-01,2026-08-31,有效
AVL00065,T006,Monday,14:00,18:00,Europe/Madrid,2025-04-27,2026-05-31,历史有效
AVL00066,T006,Tuesday,16:00,22:00,Europe/Madrid,2025-04-27,2026-05-31,历史有效
AVL00067,T006,Sunday,08:00,12:00,Europe/Madrid,2025-04-27,2026-05-31,历史有效
AVL00068,T006,Friday,18:00,22:00,Europe/Madrid,2025-04-27,2026-05-31,历史有效
AVL00069,T006,Thursday,18:00,21:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00070,T006,Sunday,14:00,18:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00071,T006,Monday,14:00,18:00,Europe/Madrid,2026-06-01,2026-06-30,历史有效
AVL00072,T006,Wednesday,11:00,14:00,Europe/Madrid,2026-07-01,2026-07-30,历史有效
AVL00073,T006,Saturday,14:00,17:00,Europe/Madrid,2026-07-01,2026-07-30,历史有效
AVL00074,T006,Tuesday,15:00,18:00,Europe/Madrid,2026-07-01,2026-07-30,历史有效
AVL00075,T007,Wednesday,16:00,21:00,America/Santiago,2025-05-08,2026-05-31,历史有效
AVL00076,T007,Sunday,11:00,17:00,America/Santiago,2025-05-08,2026-05-31,历史有效
AVL00077,T007,Saturday,15:00,21:00,America/Santiago,2025-05-08,2026-05-31,历史有效
AVL00078,T007,Thursday,09:00,14:00,America/Santiago,2025-05-08,2026-05-31,历史有效
AVL00079,T007,Friday,08:00,14:00,America/Santiago,2025-05-08,2026-05-31,历史有效
AVL00080,T007,Tuesday,08:00,11:00,America/Santiago,2026-06-01,2026-06-30,历史有效
AVL00081,T007,Monday,17:00,21:00,America/Santiago,2026-06-01,2026-06-30,历史有效
AVL00082,T007,Wednesday,10:00,14:00,America/Santiago,2026-06-01,2026-06-30,历史有效
AVL00083,T007,Friday,16:00,19:00,America/Santiago,2026-06-01,2026-06-30,历史有效
AVL00084,T007,Thursday,15:00,18:00,America/Santiago,2026-06-01,2026-06-30,历史有效
AVL00085,T007,Thursday,10:00,12:00,America/Santiago,2026-07-01,2026-07-31,历史有效
AVL00086,T007,Wednesday,16:00,18:00,America/Santiago,2026-07-01,2026-07-31,历史有效
