teacher_status_id,teacher_id,status,effective_date,reason
TST0001,T001,授课中,2026-01-01,
TST0002,T001,停止授课,2026-07-16,课程压力
TST0003,T002,授课中,2026-01-01,
TST0004,T003,授课中,2026-01-01,
TST0005,T003,停止授课,2026-08-15,时间冲突
TST0006,T004,授课中,2026-01-01,
TST0007,T004,离职,2026-08-17,时间冲突
TST0008,T005,授课中,2026-01-01,
TST0009,T006,授课中,2026-01-01,
TST0010,T007,授课中,2026-01-01,
TST0011,T008,授课中,2026-01-01,
TST0012,T009,授课中,2026-01-01,
TST0013,T009,离职,2026-07-16,个人原因
TST0014,T010,授课中,2026-01-01,
TST0015,T011,授课中,2026-01-01,
TST0016,T012,授课中,2026-01-01,
TST0017,T013,授课中,2026-01-01,
TST0018,T013,停止授课,2026-08-26,课程压力
TST0019,T014,授课中,2026-01-01,
TST0020,T015,授课中,2026-01-01,
TST0021,T016,授课中,2026-01-01,
TST0022,T017,授课中,2026-01-01,
TST0023,T018,授课中,2026-01-01,
