month,trial_count,conversion_rate,student_count,private_growth,class_growth,class_open_rate,teacher_exit_count,schedule_change_count
2025-03,6,0.8333,3,2,1,0.7809,0,0
2025-04,21,0.381,12,4,5,0.7647,0,2
2025-05,18,0.5,24,7,4,0.8195,0,3
2025-06,19,0.4737,31,1,3,0.9067,0,7
2025-07,22,0.4091,43,6,3,0.8621,0,5
2025-08,20,0.45,50,3,0,0.8797,0,11
2025-09,19,0.3158,58,3,1,0.7416,0,9
2025-10,30,0.3333,67,4,1,0.8213,0,8
2025-11,15,0.5333,75,0,3,0.8439,0,2
2025-12,25,0.4,86,5,2,0.8794,0,3
2026-01,21,0.4286,95,5,0,0.7648,1,3
2026-02,15,0.2,98,0,0,0.7628,1,4
2026-03,20,0.45,107,5,0,0.8644,0,1
2026-04,21,0.5714,118,8,0,0.8751,0,1
2026-05,22,0.5455,130,7,0,0.9496,0,5
2026-06,26,0.5,144,4,0,0.8897,0,8
2026-07,16,0.125,146,1,0,0.7416,3,4
2026-08,33,0.2424,153,2,1,0.8614,2,7
