class_id,class_name,teacher_id,schedule,student_count,level,delivery_mode,status
CLS001,A1-线上-01,T016,周二/周日 10:00,3,A1,线上,进行中
CLS002,A2-线上-02,T001,周六/周五 10:00,2,A2,线上,进行中
CLS003,B1-线上-03,T012,周五/周二 10:00,3,B1,线上,进行中
CLS004,B2-线上-04,T012,周六/周二 10:00,2,B2,线上,结束
CLS005,A1-线下-05,T007,周六/周二 14:00,3,A1,线下,进行中
CLS006,A2-线下-06,T010,周六/周三 17:00,2,A2,线下,进行中
CLS007,B1-线下-07,T011,周三/周日 11:00,3,B1,线下,进行中
CLS008,B2-线下-08,T004,周六/周四 19:00,2,B2,线下,进行中
CLS009,A1-线上-09,T004,周一/周二 16:00,4,A1,线上,进行中
CLS010,A2-线上-10,T010,周三/周二 19:00,1,A2,线上,进行中
CLS011,B1-线上-11,T016,周二/周日 17:00,4,B1,线上,进行中
CLS012,B2-线上-12,T009,周六/周五 16:00,2,B2,线上,进行中
