private_course_student_id,private_course_id,student_id,join_date,leave_date,status
PCS0001,PC001,STU0094,2025-10-03,,在读
PCS0002,PC002,STU0006,2025-12-09,,在读
PCS0003,PC002,STU0025,2026-09-04,,在读
PCS0004,PC003,STU0072,2026-05-15,,在读
PCS0005,PC003,STU0109,2025-05-01,,在读
PCS0006,PC004,STU0082,2026-06-20,,在读
PCS0007,PC004,STU0110,2026-02-09,,在读
PCS0008,PC005,STU0003,2026-04-27,,在读
PCS0009,PC006,STU0018,2026-06-06,,在读
PCS0010,PC007,STU0023,2026-01-18,,在读
PCS0011,PC008,STU0120,2026-05-14,,在读
PCS0012,PC009,STU0126,2026-03-06,,在读
PCS0013,PC009,STU0047,2025-09-05,,在读
PCS0014,PC010,STU0135,2026-04-06,,在读
PCS0015,PC010,STU0074,2026-04-06,,在读
PCS0016,PC010,STU0028,2026-04-06,,在读
PCS0017,PC010,STU0150,2026-05-17,,在读
PCS0018,PC011,STU0066,2026-05-12,,在读
PCS0019,PC012,STU0063,2025-12-17,,在读
PCS0020,PC012,STU0070,2025-07-01,,在读
PCS0021,PC013,STU0105,2026-05-23,,在读
PCS0022,PC014,STU0145,2026-06-03,,在读
PCS0023,PC014,STU0154,2025-08-17,,在读
PCS0024,PC015,STU0153,2026-07-27,,在读
PCS0025,PC016,STU0092,2026-03-16,,在读
PCS0026,PC017,STU0009,2026-07-22,,在读
PCS0027,PC017,STU0148,2026-08-31,,在读
PCS0028,PC017,STU0044,2026-04-28,,在读
PCS0029,PC017,STU0040,2026-04-03,,在读
PCS0030,PC018,STU0011,2025-11-15,,在读
PCS0031,PC018,STU0142,2026-04-03,,在读
PCS0032,PC019,STU0084,2026-03-29,,在读
PCS0033,PC020,STU0108,2026-04-21,,在读
PCS0034,PC020,STU0052,2026-05-26,,在读
PCS0035,PC020,STU0016,2025-07-25,,在读
PCS0036,PC021,STU0046,2026-03-17,,在读
PCS0037,PC022,STU0114,2026-05-16,,在读
PCS0038,PC022,STU0079,2026-05-16,,在读
PCS0039,PC023,STU0139,2025-10-17,,在读
PCS0040,PC023,STU0076,2025-10-01,,在读
PCS0041,PC024,STU0097,2026-01-27,,在读
PCS0042,PC025,STU0117,2026-04-27,,在读
PCS0043,PC025,STU0121,2026-06-30,,在读
PCS0044,PC025,STU0043,2025-08-29,,在读
PCS0045,PC026,STU0098,2025-10-20,,在读
PCS0046,PC027,STU0057,2026-04-25,,在读
PCS0047,PC028,STU0131,2026-01-17,,在读
PCS0048,PC028,STU0147,2026-04-10,,在读
PCS0049,PC028,STU0149,2025-10-04,,在读
PCS0050,PC029,STU0124,2026-08-30,,在读
PCS0051,PC030,STU0051,2026-07-14,,在读
PCS0052,PC031,STU0035,2025-07-25,,在读
PCS0053,PC032,STU0039,2026-05-30,,在读
PCS0054,PC033,STU0136,2025-10-20,,在读
PCS0055,PC034,STU0034,2025-12-29,,在读
PCS0056,PC035,STU0091,2025-07-06,,在读
PCS0057,PC035,STU0021,2025-07-12,,在读
PCS0058,PC035,STU0019,2026-01-27,,在读
PCS0059,PC036,STU0067,2025-06-02,,在读
PCS0060,PC036,STU0095,2025-05-09,,在读
PCS0061,PC036,STU0010,2026-05-19,,在读
PCS0062,PC036,STU0101,2025-09-22,,在读
PCS0063,PC037,STU0012,2025-12-31,,在读
PCS0064,PC038,STU0033,2026-05-22,,在读
PCS0065,PC039,STU0134,2026-06-19,,在读
PCS0066,PC039,STU0102,2026-06-19,,在读
PCS0067,PC040,STU0083,2026-06-07,,在读
PCS0068,PC041,STU0068,2026-09-01,,在读
PCS0069,PC042,STU0054,2026-05-09,,在读
