private_course_id,course_type,teacher_id,schedule,current_status,start_date
PC001,1V1,T019,周六 14:00,进行中,2025-10-03
PC002,1V2,T017,周四 17:00,进行中,2025-11-15
PC003,1V2,T018,周一 11:00,停课,2025-05-01
PC004,1V2,T019,周六 09:00,进行中,2026-02-09
PC005,1V1,T003,周一 15:00,进行中,2026-04-27
PC006,1V1,T017,周六 16:00,进行中,2026-04-10
PC007,1V1,T017,周日 14:00,完成,2025-03-28
PC008,1V1,T019,周日 10:00,进行中,2026-05-14
PC009,1V2,T010,周二 10:00,进行中,2025-09-05
PC010,1V4,T014,周三 18:00,进行中,2026-04-06
PC011,1V1,T013,周五 09:00,进行中,2025-06-10
PC012,1V2,T016,周日 19:00,暂停,2025-06-02
PC013,1V1,T010,周四 14:00,进行中,2026-05-23
PC014,1V2,T003,周一 09:00,进行中,2025-08-17
PC015,1V1,T022,周六 11:00,进行中,2026-07-27
PC016,1V1,T017,周六 09:00,进行中,2026-01-03
PC017,1V4,T006,周六 15:00,暂停,2026-04-03
PC018,1V2,T003,周一 11:00,进行中,2025-11-15
PC019,1V1,T008,周六 19:00,暂停,2026-02-07
PC020,1V3,T006,周一 17:00,进行中,2025-07-25
PC021,1V1,T015,周四 17:00,进行中,2026-03-17
PC022,1V2,T010,周日 15:00,进行中,2026-05-16
PC023,1V2,T014,周一 14:00,进行中,2025-10-01
PC024,1V1,T004,周二 11:00,进行中,2025-07-01
PC025,1V3,T014,周日 14:00,进行中,2025-08-29
PC026,1V1,T008,周四 17:00,进行中,2025-10-20
PC027,1V1,T011,周二 11:00,进行中,2025-08-14
PC028,1V3,T014,周三 11:00,进行中,2025-10-04
PC029,1V1,T007,周三 16:00,进行中,2025-07-02
PC030,1V1,T028,周四 09:00,进行中,2026-07-14
PC031,1V1,T010,周六 10:00,进行中,2025-07-25
PC032,1V1,T020,周日 18:00,进行中,2025-10-11
PC033,1V1,T013,周五 20:00,进行中,2025-10-20
PC034,1V1,T017,周六 14:00,进行中,2025-12-29
PC035,1V3,T015,周四 17:00,进行中,2025-06-23
PC036,1V4,T001,周四 11:00,停课,2025-05-07
PC037,1V1,T017,周一 14:00,暂停,2025-12-07
PC038,1V1,T015,周一 17:00,进行中,2025-06-24
PC039,1V2,T006,周四 19:00,进行中,2026-06-19
PC040,1V1,T018,周日 19:00,暂停,2026-06-07
PC041,1V1,T006,周二 17:00,进行中,2025-05-22
PC042,1V1,T003,周日 18:00,完成,2026-05-09
