renewal_id,student_id,enrollment_id,renewal_date,renewal_hours,sales_id,remark
REN0001,STU0001,ENR0013,2026-08-12,30,EMP003,
REN0002,STU0006,ENR0058,2026-05-20,20,EMP003,
REN0003,STU0008,ENR0054,2026-05-25,20,EMP003,续费后继续原课程
REN0004,STU0011,ENR0023,2026-07-24,30,EMP002,续费后继续原课程
REN0005,STU0021,ENR0028,2026-06-08,40,EMP002,
REN0006,STU0022,ENR0043,2026-06-06,30,EMP003,续费后继续原课程
REN0007,STU0025,ENR0014,2026-05-07,30,EMP002,
REN0008,STU0027,ENR0038,2026-06-30,20,EMP001,续费后继续原课程
REN0009,STU0032,ENR0039,2026-06-03,40,EMP003,
REN0010,STU0033,ENR0051,2026-04-01,40,EMP003,
REN0011,STU0040,ENR0037,2026-06-06,20,EMP002,续费后继续原课程
REN0012,STU0041,ENR0041,2026-07-17,40,EMP003,
REN0013,STU0047,ENR0009,2026-07-14,30,EMP003,
REN0014,STU0052,ENR0010,2026-06-17,30,EMP003,
REN0015,STU0058,ENR0032,2026-04-30,20,EMP003,
