attendance_id,lesson_id,student_id,attendance_status,remark
ATT0000001,L000001,STU0094,缺席,
ATT0000002,L000002,STU0094,出席,
ATT0000003,L000003,STU0094,出席,
ATT0000004,L000004,STU0094,出席,
ATT0000005,L000005,STU0094,缺席,
ATT0000006,L000006,STU0094,出席,
ATT0000007,L000007,STU0094,出席,
ATT0000008,L000008,STU0094,请假,临时请假
ATT0000009,L000009,STU0094,出席,
ATT0000010,L000010,STU0094,缺席,
ATT0000011,L000011,STU0094,出席,
ATT0000012,L000012,STU0094,出席,
ATT0000013,L000013,STU0094,出席,
ATT0000014,L000014,STU0094,出席,
ATT0000015,L000015,STU0094,出席,
ATT0000016,L000016,STU0094,出席,
ATT0000017,L000017,STU0094,请假,
ATT0000018,L000018,STU0094,出席,
ATT0000019,L000019,STU0094,出席,
ATT0000020,L000020,STU0094,出席,
ATT0000021,L000021,STU0094,出席,
ATT0000022,L000022,STU0094,出席,
ATT0000023,L000023,STU0094,出席,
ATT0000024,L000024,STU0094,出席,
ATT0000025,L000025,STU0094,缺席,
ATT0000026,L000026,STU0094,出席,
ATT0000027,L000027,STU0094,出席,
ATT0000028,L000028,STU0094,出席,
ATT0000029,L000029,STU0094,出席,
ATT0000030,L000030,STU0094,请假,临时请假
ATT0000031,L000031,STU0094,缺席,
ATT0000032,L000032,STU0094,出席,
ATT0000033,L000033,STU0094,请假,临时请假
ATT0000034,L000034,STU0094,出席,
ATT0000035,L000035,STU0094,出席,
ATT0000036,L000036,STU0094,出席,
ATT0000037,L000037,STU0094,出席,
ATT0000038,L000038,STU0094,缺席,
ATT0000039,L000039,STU0094,出席,
ATT0000040,L000040,STU0094,出席,
ATT0000041,L000041,STU0094,出席,
ATT0000042,L000042,STU0094,出席,
ATT0000043,L000043,STU0094,出席,
ATT0000044,L000044,STU0094,出席,
ATT0000045,L000045,STU0094,出席,
ATT0000046,L000046,STU0094,出席,
ATT0000047,L000047,STU0094,请假,临时请假
ATT0000048,L000048,STU0094,请假,
ATT0000049,L000049,STU0006,出席,
