lesson_id,schedule_id,student_id,teacher_id,lesson_date,duration,feedback
L000001,SCH0001,STU0094,T019,2025-10-04,1.67,
L000002,SCH0001,STU0094,T019,2025-10-11,1.0,语法掌握一般
L000003,SCH0001,STU0094,T019,2025-10-18,1.67,完成本节内容
L000004,SCH0001,STU0094,T019,2025-10-25,1.5,课堂参与积极
L000005,SCH0001,STU0094,T019,2025-11-01,1.67,完成本节内容
L000006,SCH0001,STU0094,T019,2025-11-08,1.0,语法掌握一般
L000007,SCH0001,STU0094,T019,2025-11-15,1.5,完成本节内容
L000008,SCH0001,STU0094,T019,2025-11-22,1.0,完成本节内容
L000009,SCH0001,STU0094,T019,2025-11-29,1.0,完成本节内容
L000010,SCH0001,STU0094,T019,2025-12-06,1.0,课堂参与积极
L000011,SCH0001,STU0094,T019,2025-12-13,1.0,
L000012,SCH0001,STU0094,T019,2025-12-20,1.0,需要加强口语练习
L000013,SCH0001,STU0094,T019,2025-12-27,2.0,完成本节内容
L000014,SCH0001,STU0094,T019,2026-01-03,2.0,课堂参与积极
L000015,SCH0001,STU0094,T019,2026-01-10,1.0,语法掌握一般
L000016,SCH0001,STU0094,T019,2026-01-17,1.0,完成本节内容
L000017,SCH0001,STU0094,T019,2026-01-24,1.0,课堂参与积极
L000018,SCH0001,STU0094,T019,2026-01-31,1.67,语法掌握一般
L000019,SCH0001,STU0094,T019,2026-02-07,1.0,完成本节内容
L000020,SCH0001,STU0094,T019,2026-02-14,1.67,完成本节内容
L000021,SCH0001,STU0094,T019,2026-02-21,1.0,需要加强口语练习
L000022,SCH0001,STU0094,T019,2026-02-28,1.5,
L000023,SCH0001,STU0094,T019,2026-03-07,1.67,完成本节内容
L000024,SCH0001,STU0094,T019,2026-03-14,2.0,课堂参与积极
L000025,SCH0001,STU0094,T019,2026-03-21,1.0,语法掌握一般
L000026,SCH0001,STU0094,T019,2026-03-28,1.0,完成本节内容
L000027,SCH0001,STU0094,T019,2026-04-04,1.0,课堂参与积极
L000028,SCH0001,STU0094,T019,2026-04-11,1.67,语法掌握一般
L000029,SCH0001,STU0094,T019,2026-04-18,1.67,语法掌握一般
L000030,SCH0001,STU0094,T019,2026-04-25,1.0,课堂参与积极
L000031,SCH0001,STU0094,T019,2026-05-02,1.67,语法掌握一般
L000032,SCH0001,STU0094,T019,2026-05-09,2.0,需要加强口语练习
L000033,SCH0001,STU0094,T019,2026-05-16,1.5,需要加强口语练习
L000034,SCH0001,STU0094,T019,2026-05-23,1.67,需要加强口语练习
L000035,SCH0001,STU0094,T019,2026-05-30,1.5,需要加强口语练习
L000036,SCH0001,STU0094,T019,2026-06-06,1.0,语法掌握一般
L000037,SCH0001,STU0094,T019,2026-06-13,1.0,语法掌握一般
L000038,SCH0001,STU0094,T019,2026-06-20,1.67,需要加强口语练习
L000039,SCH0001,STU0094,T019,2026-06-27,1.0,语法掌握一般
L000040,SCH0001,STU0094,T019,2026-07-04,1.67,完成本节内容
L000041,SCH0001,STU0094,T019,2026-07-11,1.0,课堂参与积极
L000042,SCH0001,STU0094,T019,2026-07-18,1.0,完成本节内容
L000043,SCH0001,STU0094,T019,2026-07-25,1.0,完成本节内容
L000044,SCH0001,STU0094,T019,2026-08-01,2.0,课堂参与积极
L000045,SCH0001,STU0094,T019,2026-08-08,1.0,语法掌握一般
L000046,SCH0001,STU0094,T019,2026-08-15,1.0,语法掌握一般
L000047,SCH0001,STU0094,T019,2026-08-22,1.0,课堂参与积极
L000048,SCH0001,STU0094,T019,2026-08-29,1.5,完成本节内容
L000049,SCH0002,,T017,2025-11-15,1.67,语法掌握一般
L000050,SCH0002,,T017,2025-11-22,1.0,语法掌握一般
L000051,SCH0002,,T017,2025-11-29,1.67,完成本节内容
L000052,SCH0002,,T017,2025-12-06,1.0,语法掌握一般
L000053,SCH0002,,T017,2025-12-13,1.0,完成本节内容
L000054,SCH0002,,T017,2025-12-20,2.0,课堂参与积极
L000055,SCH0002,,T017,2025-12-27,1.67,需要加强口语练习
L000056,SCH0002,,T017,2026-01-03,1.0,完成本节内容
L000057,SCH0002,,T017,2026-01-10,2.0,完成本节内容
L000058,SCH0002,,T017,2026-01-17,1.67,
L000059,SCH0002,,T017,2026-01-24,1.67,完成本节内容
L000060,SCH0002,,T017,2026-01-31,1.0,课堂参与积极
L000061,SCH0002,,T017,2026-02-07,1.0,需要加强口语练习
L000062,SCH0002,,T017,2026-02-14,1.0,需要加强口语练习
L000063,SCH0002,,T017,2026-02-21,1.67,课堂参与积极
L000064,SCH0002,,T017,2026-02-28,1.0,完成本节内容
L000065,SCH0002,,T017,2026-03-07,2.0,需要加强口语练习
L000066,SCH0002,,T017,2026-03-14,1.0,需要加强口语练习
